ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7614-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7614-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_ratio,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7614-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_q124,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7614-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7614-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_ratio
1604370.55,27.0,1.42,260483.07,4.38
1604370.55,27.0,1.42,260483.07,4.38
1604114.81,27.0,1.42,260481.48,4.38
1604114.81,27.0,1.42,260476.96,4.38
1603859.07,27.0,1.42,260434.79,4.38
1601813.16,27.0,1.43,260431.9,4.39
1601427.97,27.0,1.42,260182.25,4.39
1601172.23,27.0,1.42,260138.48,4.39
1600916.49,27.0,1.42,260138.48,4.39
1601105.95,27.0,1.43,260210.83,4.39
1601105.95,27.0,1.43,260288.02,4.39
1600850.21,27.0,1.43,260481.55,4.39
1600594.47,27.0,1.43,260437.78,4.39
1600338.73,27.0,1.43,260437.78,4.39
1599827.25,27.0,1.43,260394.01,4.4
1599760.37,27.01,1.43,260483.13,4.4
1599504.63,27.01,1.43,260490.5,4.4
1599248.89,27.01,1.43,260504.09,4.4
1599182.01,27.01,1.43,260587.0,4.4
1599182.01,27.01,1.43,261395.12,4.41
1598926.27,27.01,1.43,261351.35,4.41
1598670.53,27.01,1.43,261351.35,4.42
1604624.62,27.11,1.54,268458.65,4.54
1604368.88,27.11,1.54,268449.68,4.54
1604302.0,27.11,1.54,268527.29,4.54
1604302.0,27.11,1.54,268527.29,4.54
1604302.0,27.11,1.54,268527.29,4.54
1604802.01,27.12,1.55,268503.07,4.54
