ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0d71-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0d71-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0d71-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0d71-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0d71-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
324,778,660000,6212,660000
325,780,660810,6212,660810
325,780,660810,6212,660810
325,780,661620,6212,661620
326,782,662620,6212,662620
327,790,670620,6212,670620
327,790,671620,6212,671620
328,792,672620,6212,672620
328,792,673620,6212,673620
329,794,674270,6212,674270
329,794,675270,6212,675270
329,794,675270,6212,675270
330,796,676270,6212,676270
330,796,676590,6212,676590
330,796,677400,6212,677400
331,798,678210,6212,678210
331,798,679210,6212,679210
331,798,679210,6212,679210
332,800,680210,6212,680210
332,800,680680,6212,680680
333,802,681680,6212,681680
333,802,682680,6212,682680
333,802,682680,6212,682680
334,804,683680,6212,683680
334,804,684680,6212,684680
334,804,685150,6212,685150
335,806,686150,6212,686150
335,806,686620,6212,686620
336,808,687620,6212,687620
336,808,687620,6212,687620
336,808,688620,6212,688620
336,808,688620,6212,688620
336,808,689090,6212,689090
337,810,689560,6212,689560
337,810,690560,6212,690560
338,812,691560,6212,691560
338,812,692370,6212,692370
338,812,692600,6212,692600
339,814,693410,6212,693410
339,814,694410,6212,694410
340,816,695220,6212,695220
340,816,695870,6212,695870
341,818,696680,6212,696680
341,818,697490,6212,697490
341,818,697960,6212,697960
342,820,698960,6212,698960
342,820,699960,6212,699960
343,822,700960,6212,700960
343,822,701960,6212,701960
344,824,702960,6212,702960
344,824,703770,6212,703770
344,824,703770,6212,703770
345,826,704770,6212,704770
345,826,705580,6212,705580
346,828,706580,6212,706580
346,828,707050,6212,707050
347,830,708050,6212,708050
347,830,708860,6212,708860
348,832,709860,6212,709860
348,832,710860,6212,710860
349,834,711860,6212,711860
349,834,712860,6212,712860
350,836,713860,6212,713860
350,836,714860,6212,714860
351,838,715860,6212,715860
351,838,716670,6212,716670
352,840,717670,6212,717670
352,840,718670,6212,718670
352,840,719140,6212,719140
353,842,719950,6212,719950
353,842,719950,6212,719950
353,842,720950,6212,720950
354,844,721420,6212,721420
354,844,721740,6212,721740
354,844,722740,6212,722740
355,846,723740,6212,723740
355,846,724550,6212,724550
355,846,724550,6212,724550
355,846,724870,6212,724870
356,848,725520,6212,725520
356,848,726110,6212,726110
357,850,727110,6212,727110
357,850,728110,6212,728110
358,852,728920,6212,728920
358,852,729240,6212,729240
358,852,729240,6212,729240
358,852,730240,6212,730240
359,854,731240,6212,731240
359,854,732240,6212,732240
359,854,732710,6212,732710
360,856,733710,6212,733710
360,856,734180,6212,734180
360,856,734180,6212,734180
360,856,734180,6212,734180
360,856,734180,6212,734180
