ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a0cd-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a0cd-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a0cd-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_q124,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a0cd-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a0cd-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-bellman_ratio
908708.71,15.54,1.95,161411.81,2.76
909162.28,15.55,1.96,161811.11,2.77
909026.3,15.55,1.96,161731.8,2.77
908890.32,15.55,1.96,161731.8,2.77
908943.03,15.56,1.96,161842.88,2.77
908473.48,15.55,1.95,161478.04,2.76
908473.48,15.55,1.95,161478.04,2.76
908337.5,15.55,1.95,161450.49,2.76
908201.52,15.55,1.95,161456.72,2.76
908505.7,15.56,1.96,161811.48,2.77
908558.4,15.56,1.96,161922.56,2.77
908422.42,15.56,1.96,161895.01,2.77
908286.44,15.56,1.96,161901.24,2.77
908150.47,15.56,1.96,161815.7,2.77
908014.49,15.56,1.96,161736.39,2.77
908067.19,15.57,1.97,161899.23,2.78
908067.19,15.57,1.97,161899.23,2.78
907931.21,15.57,1.97,161819.92,2.77
907795.24,15.57,1.97,161819.92,2.77
907659.26,15.57,1.97,161740.61,2.77
907289.11,15.56,1.96,161370.32,2.77
907153.13,15.56,1.96,161370.32,2.77
907017.15,15.56,1.96,161360.42,2.77
907017.15,15.56,1.96,161360.42,2.77
906881.18,15.56,1.96,161291.01,2.77
906933.88,15.57,1.97,161402.09,2.77
907387.45,15.57,1.98,161816.18,2.78
907251.47,15.57,1.98,161822.4,2.78
907115.49,15.57,1.98,161736.86,2.78
906979.52,15.57,1.98,161726.97,2.78
906843.54,15.57,1.98,161657.55,2.78
906545.53,15.57,1.97,161525.93,2.77
