ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
306,698,526320,6212,526320
307,700,526780,6212,526780
307,700,527780,6212,527780
308,702,528590,6212,528590
308,702,528590,6212,528590
308,702,528590,6212,528590
308,702,529590,6212,529590
308,702,529590,6212,529590
309,704,530240,6212,530240
309,704,530560,6212,530560
309,704,531370,6212,531370
309,704,531600,6212,531600
310,706,532600,6212,532600
310,706,533600,6212,533600
310,706,533920,6212,533920
311,708,534730,6212,534730
311,708,535730,6212,535730
312,710,536730,6212,536730
312,710,537540,6212,537540
313,712,538190,6212,538190
313,712,539190,6212,539190
314,714,539840,6212,539840
314,714,540160,6212,540160
314,714,541160,6212,541160
314,714,541480,6212,541480
315,716,542480,6212,542480
315,716,543480,6212,543480
315,716,543950,6212,543950
316,718,544760,6212,544760
316,718,545760,6212,545760
317,720,546570,6212,546570
317,720,547570,6212,547570
317,720,548380,6212,548380
318,722,549380,6212,549380
318,722,549850,6212,549850
319,724,550500,6212,550500
319,724,551310,6212,551310
319,724,551770,6212,551770
320,726,552420,6212,552420
320,726,553420,6212,553420
321,728,554420,6212,554420
321,728,555420,6212,555420
322,732,555890,6212,555890
323,734,556700,6212,556700
323,734,557700,6212,557700
323,734,558700,6212,558700
