ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9523-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9523-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_ratio,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9523-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_q124,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9523-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9523-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_ratio
2160828.61,36.3,1.09,166305.02,2.79
2160466.45,36.3,1.09,166207.66,2.79
2160089.07,36.3,1.09,166157.32,2.79
2159844.23,36.3,1.09,166108.18,2.79
2159784.85,36.3,1.09,166668.04,2.8
2159441.92,36.3,1.09,166666.91,2.8
2158766.13,36.3,1.09,165861.51,2.79
2158280.35,36.3,1.08,165246.12,2.78
2158223.65,36.3,1.09,165426.23,2.78
2158304.43,36.3,1.09,165479.32,2.78
2157934.66,36.3,1.09,165456.78,2.78
2157552.89,36.3,1.09,165403.2,2.78
2157188.02,36.3,1.09,165642.82,2.79
2156819.15,36.3,1.09,166171.45,2.8
2156819.15,36.3,1.09,166171.45,2.8
2156989.23,36.31,1.1,166123.81,2.8
2156603.57,36.31,1.09,165832.01,2.79
2156566.93,36.31,1.1,165837.14,2.79
2156566.93,36.31,1.1,165837.14,2.79
2156197.16,36.31,1.1,166071.18,2.8
2156124.75,36.31,1.1,166039.21,2.8
2155609.62,36.31,1.1,165585.48,2.79
2155690.41,36.32,1.1,166264.03,2.8
2155327.22,36.32,1.1,165954.31,2.8
2154651.43,36.31,1.1,165148.92,2.78
2154281.66,36.31,1.1,165106.34,2.78
2153795.87,36.31,1.1,164490.95,2.77
2153534.9,36.31,1.1,165120.17,2.78
2150488.95,36.31,1.1,165061.32,2.79
2150003.17,36.3,1.1,164445.93,2.78
2149758.33,36.3,1.1,164847.05,2.78
2149928.41,36.31,1.1,164799.42,2.78
2149683.58,36.31,1.1,165201.03,2.79
2149774.57,36.32,1.11,165013.09,2.79
2149388.91,36.32,1.11,164591.09,2.78
2149144.07,36.32,1.11,164542.08,2.78
2148658.28,36.32,1.1,163926.69,2.77
2148625.26,36.32,1.11,163974.58,2.77
2148866.36,36.33,1.12,164398.05,2.78
2148621.52,36.33,1.12,164394.56,2.78
2148258.33,36.33,1.12,164356.78,2.78
2148013.49,36.33,1.12,164307.92,2.78
2148261.56,36.34,1.13,164644.53,2.79
2147898.37,36.34,1.13,164606.75,2.79
2147653.53,36.35,1.13,164603.11,2.79
2147894.62,36.36,1.14,164913.26,2.79
2147975.41,36.36,1.14,164966.35,2.79
2147610.54,36.36,1.14,165286.51,2.8
2147610.54,36.36,1.14,165286.51,2.8
2147247.35,36.36,1.15,165340.82,2.8
