ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6f7c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6f7c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6f7c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6f7c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6f7c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
371,1016,849560,6212,849560
372,1018,850560,6212,850560
372,1018,851560,6212,851560
373,1020,852370,6212,852370
373,1020,853020,6212,853020
374,1022,853670,6212,853670
374,1022,854140,6212,854140
375,1024,854730,6212,854730
375,1024,855200,6212,855200
375,1024,856200,6212,856200
376,1026,856790,6212,856790
376,1026,856790,6212,856790
376,1026,857790,6212,857790
377,1028,858790,6212,858790
377,1028,858790,6212,858790
377,1028,859790,6212,859790
377,1028,859790,6212,859790
378,1030,860790,6212,860790
378,1030,861790,6212,861790
379,1032,862600,6212,862600
379,1032,863070,6212,863070
380,1034,863720,6212,863720
380,1034,863720,6212,863720
380,1034,864720,6212,864720
380,1034,865040,6212,865040
380,1034,865040,6212,865040
380,1034,865360,6212,865360
381,1036,867360,6212,867360
381,1036,867360,6212,867360
381,1036,867360,6212,867360
381,1036,867360,6212,867360
382,1038,868360,6212,868360
382,1038,868830,6212,868830
382,1038,869640,6212,869640
383,1040,870230,6212,870230
383,1040,871230,6212,871230
384,1042,871820,6212,871820
384,1042,872630,6212,872630
385,1044,873630,6212,873630
385,1044,874630,6212,874630
385,1044,874790,6212,874790
386,1046,875250,6212,875250
386,1046,876250,6212,876250
386,1046,876570,6212,876570
387,1048,877570,6212,877570
387,1048,878570,6212,878570
388,1050,879570,6212,879570
389,1052,881570,6212,881570
389,1052,882570,6212,882570
390,1054,883570,6212,883570
390,1054,883890,6212,883890
390,1054,884890,6212,884890
391,1062,892890,6212,892890
392,1070,900890,6212,900890
393,1072,901700,6212,901700
393,1072,902700,6212,902700
393,1072,902920,6212,902920
393,1072,903080,6212,903080
394,1074,903890,6212,903890
394,1074,904890,6212,904890
394,1074,905110,6212,905110
394,1074,905270,6212,905270
395,1076,906270,6212,906270
395,1076,907270,6212,907270
396,1078,908270,6212,908270
396,1078,909270,6212,909270
397,1080,910270,6212,910270
397,1080,911270,6212,911270
398,1082,912270,6212,912270
398,1082,913270,6212,913270
398,1082,913590,6212,913590
399,1084,914590,6212,914590
399,1084,915400,6212,915400
399,1084,915400,6212,915400
399,1084,915870,6212,915870
400,1086,916680,6212,916680
400,1086,917680,6212,917680
401,1088,918680,6212,918680
401,1088,918680,6212,918680
401,1088,919680,6212,919680
402,1090,920680,6212,920680
402,1090,921680,6212,921680
403,1092,922490,6212,922490
403,1092,923490,6212,923490
403,1092,923720,6212,923720
404,1094,924720,6212,924720
404,1094,925720,6212,925720
405,1102,933720,6212,933720
405,1102,933720,6212,933720
406,1104,934190,6212,934190
406,1104,935190,6212,935190
406,1104,935420,6212,935420
407,1106,936420,6212,936420
407,1106,936790,6212,936790
407,1106,937790,6212,937790
408,1108,938790,6212,938790
408,1108,938790,6212,938790
408,1108,939600,6212,939600
409,1110,941600,6212,941600
410,1112,942410,6212,942410
410,1112,943410,6212,943410
411,1114,944410,6212,944410
411,1114,945410,6212,945410
412,1116,946410,6212,946410
412,1116,947220,6212,947220
