ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6f7c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6f7c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6f7c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6f7c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6f7c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
936167.19,15.88,3.19,573580.76,9.73
936371.16,15.89,3.19,573420.68,9.73
936544.79,15.89,3.2,573456.28,9.73
936510.06,15.89,3.2,573366.06,9.73
936328.81,15.89,3.2,573130.25,9.73
935677.85,15.89,3.2,572716.05,9.73
935132.51,15.88,3.19,572170.72,9.72
935442.79,15.89,3.2,573050.83,9.73
935080.29,15.89,3.2,572780.9,9.73
934908.94,15.89,3.2,572534.37,9.73
934546.44,15.89,3.19,572264.44,9.73
933896.44,15.88,3.19,571614.44,9.72
934100.41,15.88,3.19,571454.37,9.72
933574.04,15.88,3.18,570933.71,9.71
932856.49,15.87,3.17,570162.0,9.7
932477.97,15.86,3.17,569850.74,9.69
932316.91,15.86,3.17,569638.66,9.69
932659.52,15.87,3.18,570637.86,9.71
932486.22,15.87,3.18,570285.35,9.7
931835.26,15.87,3.18,569871.15,9.7
931565.83,15.86,3.17,569588.0,9.7
931704.77,15.87,3.18,570512.08,9.72
931997.93,15.87,3.18,570752.41,9.72
933149.85,15.9,3.21,570526.39,9.72
933149.85,15.9,3.21,570526.39,9.72
932432.31,15.89,3.2,569754.68,9.71
932432.31,15.89,3.2,569754.68,9.71
932238.8,15.89,3.19,569569.24,9.71
932553.28,15.89,3.2,569413.69,9.7
931817.94,15.88,3.19,568678.35,9.69
931439.42,15.88,3.19,568394.68,9.69
931278.36,15.88,3.19,569085.99,9.7
931278.36,15.88,3.19,569085.99,9.7
931522.23,15.89,3.19,568979.65,9.7
931353.24,15.89,3.19,568868.3,9.7
931166.64,15.88,3.19,568638.94,9.7
931167.52,15.88,3.19,568570.54,9.7
930152.14,15.89,3.2,568087.07,9.7
929136.75,15.89,3.2,567629.11,9.71
928943.24,15.89,3.2,567470.53,9.71
928774.25,15.89,3.2,567267.2,9.71
928774.25,15.89,3.2,567267.2,9.71
928580.74,15.89,3.2,567200.61,9.71
927565.36,15.9,3.2,566717.14,9.71
926549.97,15.9,3.21,566259.18,9.72
926380.98,15.9,3.21,566055.84,9.72
926626.0,15.91,3.21,566432.57,9.72
926457.01,15.91,3.21,566305.3,9.72
926457.01,15.91,3.21,566305.3,9.72
926078.48,15.9,3.21,565921.99,9.72
926078.48,15.9,3.21,565921.99,9.72
926078.48,15.9,3.21,565921.99,9.72
926078.48,15.9,3.21,565921.99,9.72
925884.97,15.9,3.21,565779.33,9.72
925715.98,15.9,3.21,565578.92,9.71
925522.47,15.9,3.21,565509.4,9.71
925353.48,15.9,3.21,565306.06,9.71
925159.97,15.9,3.21,565239.48,9.71
925363.93,15.9,3.21,565079.4,9.71
925621.21,15.91,3.22,564890.85,9.71
925621.21,15.91,3.22,564890.85,9.71
925492.96,15.91,3.22,565719.44,9.73
925506.75,15.91,3.22,565598.19,9.72
925776.28,15.92,3.23,565620.63,9.73
925701.72,15.92,3.23,565596.44,9.73
925508.21,15.92,3.22,565749.51,9.73
925129.68,15.91,3.22,565364.08,9.72
924936.17,15.91,3.22,565178.64,9.72
923634.25,15.91,3.22,564222.86,9.72
923107.89,15.9,3.21,563702.21,9.71
922983.85,15.9,3.21,563612.86,9.71
922716.4,15.9,3.21,563350.05,9.71
922616.64,15.9,3.21,563093.78,9.71
921899.09,15.89,3.2,562333.36,9.69
921872.49,15.89,3.2,562264.01,9.69
922146.04,15.9,3.21,562796.35,9.7
921977.05,15.9,3.21,562598.74,9.7
921783.54,15.9,3.21,562532.15,9.7
920768.16,15.9,3.21,562074.19,9.71
920768.16,15.9,3.21,562074.19,9.71
921211.04,15.91,3.22,562238.25,9.71
921042.05,15.91,3.22,562045.9,9.71
921176.54,15.92,3.22,562296.46,9.72
920631.21,15.91,3.22,561751.12,9.71
920462.22,15.91,3.22,561553.51,9.71
919744.67,15.9,3.21,560793.09,9.69
919551.16,15.9,3.21,560726.51,9.69
919023.61,15.89,3.2,560144.8,9.69
918288.27,15.88,3.19,559409.46,9.68
917760.73,15.87,3.18,558807.27,9.67
917591.74,15.87,3.18,558683.87,9.67
917398.23,15.87,3.18,558543.08,9.66
917229.24,15.87,3.18,558345.47,9.66
917035.73,15.87,3.18,558278.88,9.66
916508.18,15.87,3.17,557697.17,9.65
916777.71,15.87,3.18,557722.94,9.66
916772.97,15.87,3.18,557937.32,9.66
915471.05,15.87,3.18,556981.55,9.66
915092.52,15.87,3.18,556721.34,9.65
914290.81,15.86,3.17,555885.09,9.64
914121.82,15.86,3.17,555777.9,9.64
913928.31,15.86,3.16,555620.89,9.64
913630.31,15.85,3.16,555328.49,9.64
913630.31,15.85,3.16,555328.49,9.64
913630.31,15.85,3.16,555328.49,9.64
913210.03,15.85,3.16,554682.24,9.63
912782.73,15.84,3.15,554048.69,9.62
913060.53,15.85,3.16,553951.38,9.62
912443.23,15.84,3.15,553127.84,9.6
912066.43,15.84,3.14,553202.84,9.6
911872.92,15.83,3.14,553030.94,9.6
912305.49,15.84,3.15,553021.77,9.6
912305.49,15.84,3.15,553021.77,9.6
912111.98,15.84,3.15,553270.58,9.61
911494.67,15.83,3.14,552447.03,9.6
911514.45,15.84,3.14,552442.29,9.6
911204.99,15.83,3.14,552225.75,9.6
911339.48,15.84,3.14,552403.82,9.6
911170.49,15.84,3.14,552206.21,9.6
911165.75,15.84,3.15,552325.17,9.6
911165.75,15.84,3.15,552325.17,9.6
910996.76,15.84,3.15,552201.77,9.6
911250.04,15.84,3.15,552509.53,9.61
911269.82,15.85,3.15,552504.79,9.61
911265.08,15.85,3.16,552574.64,9.61
911284.85,15.85,3.16,552569.9,9.61
911091.34,15.85,3.16,552496.0,9.61
910869.24,15.85,3.16,552278.7,9.61
909853.86,15.85,3.16,551795.23,9.61
910104.15,15.86,3.17,551627.59,9.61
910104.15,15.86,3.17,551627.59,9.61
909910.64,15.86,3.16,551949.3,9.62
909910.64,15.86,3.16,551949.3,9.62
909741.65,15.86,3.16,551756.95,9.62
909741.65,15.86,3.16,551756.95,9.62
909548.14,15.86,3.16,551685.11,9.62
909548.14,15.86,3.16,551685.11,9.62
909567.91,15.86,3.17,551680.37,9.62
909563.17,15.86,3.17,551750.22,9.62
909394.18,15.86,3.17,551625.85,9.62
909200.67,15.86,3.17,551486.02,9.62
909031.68,15.86,3.17,551289.18,9.62
909031.68,15.86,3.17,551289.18,9.62
909166.17,15.86,3.17,551545.04,9.62
909166.17,15.86,3.17,551545.04,9.62
908997.18,15.86,3.17,551349.99,9.62
908620.38,15.86,3.17,550971.44,9.62
908426.87,15.86,3.17,550902.29,9.62
908257.88,15.86,3.17,550707.62,9.62
908253.14,15.86,3.17,550823.65,9.62
908084.15,15.86,3.17,550716.46,9.62
907433.19,15.86,3.17,550302.27,9.62
907239.68,15.86,3.17,550145.26,9.62
907239.68,15.86,3.17,550145.26,9.62
906224.29,15.86,3.17,549661.79,9.62
906055.3,15.86,3.17,549464.18,9.62
905404.34,15.86,3.17,549049.99,9.62
905649.35,15.87,3.18,549422.57,9.63
905480.36,15.87,3.18,549315.38,9.63
905286.85,15.87,3.18,549158.38,9.63
905117.86,15.87,3.18,548963.7,9.62
904919.86,15.86,3.17,548839.72,9.62
904726.35,15.86,3.17,548770.21,9.62
904557.36,15.86,3.17,548577.85,9.62
904552.62,15.87,3.17,548691.56,9.62
904383.63,15.87,3.17,548496.51,9.62
904190.12,15.87,3.17,548427.37,9.62
904021.13,15.87,3.17,548303.0,9.62
903827.62,15.86,3.17,548163.17,9.62
903658.63,15.86,3.17,548039.77,9.62
903456.79,15.86,3.17,547811.02,9.62
903452.04,15.86,3.17,547834.88,9.62
903471.82,15.87,3.17,547830.14,9.62
903467.08,15.87,3.18,547899.99,9.62
902816.12,15.87,3.18,547485.79,9.62
902647.13,15.87,3.18,547288.95,9.62
902349.13,15.86,3.17,546995.73,9.62
901970.6,15.86,3.17,546616.56,9.61
902223.89,15.86,3.17,546997.85,9.62
902054.9,15.86,3.17,546805.49,9.62
901039.52,15.87,3.18,546322.02,9.62
900846.01,15.87,3.18,546250.18,9.62
900677.02,15.87,3.18,546125.81,9.62
900483.51,15.87,3.17,545985.99,9.62
900503.28,15.87,3.18,545981.24,9.62
900503.28,15.87,3.18,545981.24,9.62
900309.77,15.87,3.18,545886.44,9.62
900164.82,15.87,3.17,545700.31,9.62
899995.83,15.87,3.17,545502.7,9.62
899633.33,15.87,3.17,545238.51,9.62
899886.61,15.87,3.18,545620.48,9.62
899717.62,15.87,3.18,545428.12,9.62
899524.11,15.87,3.18,545356.28,9.62
899355.12,15.87,3.18,545158.68,9.62
898988.33,15.87,3.17,544790.12,9.61
898794.82,15.87,3.17,544723.53,9.62
898625.83,15.87,3.17,544599.16,9.61
898870.84,15.87,3.18,544830.6,9.62
898890.62,15.87,3.18,544825.85,9.62
898697.11,15.87,3.18,544731.05,9.62
898528.12,15.87,3.18,544606.68,9.62
898662.61,15.88,3.18,544789.26,9.62
898493.62,15.88,3.18,544682.07,9.62
898300.11,15.88,3.18,544525.06,9.62
898131.12,15.88,3.18,544446.52,9.62
898126.37,15.88,3.19,544432.76,9.62
897957.38,15.88,3.19,544240.4,9.62
897578.86,15.87,3.18,543929.15,9.62
897823.87,15.88,3.19,544296.48,9.63
898074.16,15.88,3.19,544128.84,9.62
897880.65,15.88,3.19,544450.55,9.63
897711.66,15.88,3.19,544255.88,9.63
897711.66,15.88,3.19,544255.88,9.63
897900.16,15.89,3.2,544564.42,9.64
897731.17,15.89,3.2,544457.23,9.64
897731.17,15.89,3.2,544457.23,9.64
897411.17,15.88,3.19,544137.23,9.63
897411.17,15.88,3.19,544137.23,9.63
897032.65,15.88,3.19,543758.06,9.62
896839.14,15.88,3.18,543601.06,9.62
897108.67,15.88,3.19,543626.83,9.62
897103.93,15.89,3.19,543841.21,9.63
897103.93,15.89,3.19,543841.21,9.63
896934.94,15.89,3.19,543644.36,9.63
896556.41,15.88,3.19,543384.16,9.62
896551.67,15.88,3.19,543502.36,9.63
896382.68,15.88,3.19,543307.31,9.63
896189.17,15.88,3.19,543238.17,9.63
895891.17,15.88,3.18,542945.77,9.62
896160.71,15.88,3.19,542970.07,9.62
