ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_23e2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-used_nodes,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_23e2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-used_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_23e2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_23e2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-total_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_23e2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-arrived_gpu_milli
353,796,645940,6212,645940
354,798,646940,6212,646940
354,798,647940,6212,647940
355,800,648940,6212,648940
355,800,649940,6212,649940
355,800,650940,6212,650940
356,802,651940,6212,651940
356,802,651940,6212,651940
356,802,651940,6212,651940
357,804,652940,6212,652940
357,804,653940,6212,653940
358,806,654940,6212,654940
358,806,655940,6212,655940
359,808,656940,6212,656940
359,808,656940,6212,656940
359,808,656940,6212,656940
359,808,657940,6212,657940
360,810,658750,6212,658750
360,810,659750,6212,659750
361,812,660560,6212,660560
361,812,660560,6212,660560
361,812,661560,6212,661560
362,814,662560,6212,662560
362,814,663560,6212,663560
363,816,664560,6212,664560
363,816,664560,6212,664560
363,816,665560,6212,665560
364,818,666370,6212,666370
364,818,667370,6212,667370
365,820,668370,6212,668370
365,820,669370,6212,669370
366,822,670370,6212,670370
366,822,671370,6212,671370
367,824,672020,6212,672020
367,824,673020,6212,673020
