ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d18b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d18b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d18b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d18b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d18b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
1004211.5,16.8,3.2,282742.37,4.73
1004385.25,16.8,3.21,282795.76,4.73
1003297.99,16.8,3.21,282795.34,4.74
1003033.41,16.8,3.21,282515.31,4.73
1002877.05,16.8,3.21,282363.49,4.73
1002763.56,16.8,3.21,282415.21,4.73
1002814.01,16.8,3.21,282541.62,4.73
1002993.71,16.8,3.21,282599.61,4.73
1002884.07,16.8,3.21,282656.5,4.74
1002884.07,16.8,3.21,282656.5,4.74
1002934.52,16.81,3.22,282782.91,4.74
1002934.52,16.81,3.22,282782.91,4.74
1003120.18,16.81,3.22,282845.5,4.74
1003279.86,16.82,3.22,282862.38,4.74
1003330.31,16.82,3.23,282988.79,4.74
1003330.31,16.82,3.23,282988.79,4.74
1003380.76,16.82,3.23,283064.05,4.75
1003139.19,16.82,3.23,282989.21,4.74
1003139.19,16.82,3.23,282989.21,4.74
1003003.28,16.82,3.23,282849.72,4.74
1002737.7,16.82,3.23,283462.63,4.75
1002795.61,16.82,3.23,283260.71,4.75
1003026.83,16.82,3.23,283272.23,4.75
1003206.54,16.83,3.24,283265.39,4.75
1003206.54,16.83,3.24,283265.39,4.75
1002950.93,16.83,3.24,283255.68,4.75
1002950.93,16.83,3.24,283255.68,4.75
1002815.02,16.83,3.24,283430.2,4.76
1002865.47,16.83,3.24,283568.58,4.76
1002915.92,16.83,3.24,283659.44,4.76
1002966.37,16.84,3.25,283785.85,4.76
1003205.05,16.84,3.25,283958.72,4.77
1003255.5,16.84,3.25,284085.13,4.77
1003305.95,16.85,3.26,284160.39,4.77
1003061.36,16.84,3.25,283997.11,4.77
1003247.02,16.85,3.26,283968.73,4.77
1003111.11,16.85,3.26,284184.3,4.77
1002975.2,16.85,3.26,284037.8,4.77
1003134.88,16.85,3.26,284329.5,4.78
1003185.33,16.86,3.27,284455.91,4.78
1003185.33,16.86,3.27,284455.91,4.78
1003049.42,16.86,3.27,284365.35,4.78
1002797.86,16.86,3.26,284101.67,4.78
1003003.25,16.86,3.27,284187.97,4.78
1002867.34,16.86,3.27,284297.76,4.78
1002917.79,16.86,3.27,284424.17,4.78
1003097.49,16.87,3.28,284482.16,4.78
1003097.49,16.87,3.28,284507.9,4.78
1002852.9,16.87,3.27,284371.47,4.78
1002551.6,16.86,3.27,284068.88,4.78
1002295.99,16.86,3.27,283979.16,4.78
1002299.63,16.86,3.27,283982.89,4.78
1002479.34,16.86,3.27,283974.84,4.78
1002479.34,16.86,3.27,283924.46,4.78
1002233.72,16.86,3.27,283786.01,4.77
1002025.59,16.86,3.27,283545.54,4.77
