ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3956-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_nodes,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3956-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3956-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpu_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3956-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-total_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3956-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-arrived_gpu_milli
423,2172,251370,6212,251370
424,2174,252180,6212,252180
425,2176,252650,6212,252650
426,2178,253460,6212,253460
427,2180,253460,6212,253460
428,2182,253460,6212,253460
428,2182,254270,6212,254270
429,2190,255080,6212,255080
430,2192,255550,6212,255550
431,2194,256360,6212,256360
432,2202,256680,6212,256680
433,2204,257330,6212,257330
434,2212,258140,6212,258140
435,2220,258950,6212,258950
435,2220,259180,6212,259180
436,2228,259550,6212,259550
436,2228,259550,6212,259550
437,2236,259870,6212,259870
438,2238,260520,6212,260520
438,2238,260990,6212,260990
439,2240,261460,6212,261460
439,2240,262270,6212,262270
439,2240,262740,6212,262740
440,2242,263200,6212,263200
441,2244,264010,6212,264010
442,2246,264330,6212,264330
442,2246,264790,6212,264790
443,2248,265250,6212,265250
444,2256,265710,6212,265710
445,2258,266360,6212,266360
446,2266,266590,6212,266590
446,2266,267400,6212,267400
447,2268,267400,6212,267400
448,2276,267630,6212,267630
449,2278,268100,6212,268100
450,2279,268570,6212,268570
450,2279,269380,6212,269380
451,2281,269970,6212,269970
451,2281,269970,6212,269970
452,2289,270340,6212,270340
453,2290,271150,6212,271150
454,2298,271960,6212,271960
454,2298,272770,6212,272770
454,2298,273580,6212,273580
454,2298,274390,6212,274390
454,2298,275200,6212,275200
454,2298,275430,6212,275430
455,2300,275900,6212,275900
456,2308,276130,6212,276130
456,2308,276450,6212,276450
457,2316,276770,6212,276770
458,2318,277090,6212,277090
458,2318,277090,6212,277090
459,2320,277740,6212,277740
