ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_683b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_683b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_683b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_683b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_683b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
1235414.5,20.53,1.95,229563.4,3.81
1234892.62,20.52,1.94,228999.04,3.81
1234700.03,20.52,1.94,228991.82,3.81
1234178.14,20.52,1.94,228438.59,3.8
1234178.14,20.52,1.94,228438.59,3.8
1234416.89,20.52,1.94,228710.87,3.8
1235881.07,20.55,1.97,230025.24,3.82
1235714.04,20.55,1.97,229965.11,3.82
1235195.88,20.55,1.96,229468.16,3.82
1234997.61,20.55,1.96,229359.01,3.82
1234805.02,20.55,1.96,229393.1,3.82
1234433.67,20.54,1.96,229099.4,3.81
1234241.08,20.54,1.96,228976.66,3.81
1233702.42,20.54,1.95,228452.45,3.8
1233535.38,20.54,1.95,228374.96,3.8
1234335.36,20.55,1.97,228419.35,3.8
1234335.36,20.55,1.97,228419.35,3.8
1234356.3,20.55,1.97,228598.68,3.81
1233834.41,20.55,1.97,228045.46,3.8
1233834.41,20.55,1.97,228045.46,3.8
1233636.14,20.55,1.97,228003.01,3.8
1233475.43,20.55,1.97,228214.95,3.8
1233833.67,20.56,1.97,228447.96,3.81
1233448.49,20.56,1.97,228359.31,3.81
1233448.49,20.56,1.97,228359.31,3.81
1232926.6,20.55,1.97,227806.08,3.8
1232926.6,20.55,1.97,227806.08,3.8
1232214.71,20.54,1.96,227051.73,3.79
1231596.27,20.53,1.95,226539.14,3.78
1231074.38,20.53,1.95,225974.79,3.77
1231150.28,20.53,1.95,226892.05,3.78
1232272.78,20.56,1.97,227013.8,3.79
1232080.19,20.56,1.97,226929.28,3.79
1231660.53,20.55,1.97,226313.24,3.78
1231481.26,20.55,1.97,226209.58,3.77
1231061.6,20.55,1.96,225593.55,3.77
1230894.57,20.55,1.96,225516.06,3.76
1230701.98,20.55,1.97,225511.93,3.76
1230701.98,20.55,1.97,225511.93,3.76
1230509.39,20.55,1.97,225498.1,3.77
1230640.82,20.55,1.97,225740.27,3.77
1230640.82,20.55,1.97,225740.27,3.77
1230448.23,20.55,1.97,225655.75,3.77
1230063.05,20.55,1.97,225567.1,3.77
1229865.32,20.55,1.97,225359.76,3.77
1230104.08,20.55,1.97,225785.04,3.77
1229937.05,20.56,1.97,225780.91,3.77
1229517.39,20.55,1.97,225164.87,3.76
1229324.8,20.55,1.97,225080.55,3.76
1229132.21,20.55,1.97,225076.22,3.76
1228939.62,20.55,1.97,224991.76,3.76
1228519.97,20.55,1.97,224375.72,3.75
1228519.97,20.55,1.97,224375.72,3.75
1228100.31,20.54,1.96,223759.69,3.74
1227900.66,20.54,1.96,223363.65,3.74
1227606.63,20.54,1.96,223076.66,3.73
1226996.98,20.53,1.95,222270.62,3.72
1226996.98,20.53,1.95,222270.62,3.72
1226996.98,20.53,1.95,222301.64,3.72
1226625.63,20.53,1.95,221932.23,3.71
1226205.98,20.52,1.94,221316.19,3.7
1226205.98,20.52,1.94,221316.19,3.7
1226038.94,20.52,1.94,221294.69,3.7
1226112.5,20.53,1.94,221337.86,3.71
1225919.91,20.53,1.94,221333.68,3.71
1225727.32,20.53,1.94,221326.45,3.71
1225567.77,20.53,1.95,221332.63,3.71
1225567.77,20.53,1.95,221236.15,3.71
1225922.4,20.53,1.95,223183.79,3.74
1226261.13,20.54,1.96,223329.44,3.74
1226984.69,20.56,1.98,223276.88,3.74
1226984.69,20.56,1.98,223276.88,3.74
1227116.12,20.56,1.98,223512.45,3.75
1227137.05,20.56,1.98,223613.78,3.75
1225629.37,20.57,1.99,223554.96,3.75
1225705.27,20.57,1.99,224472.22,3.77
1226827.77,20.59,2.01,224593.97,3.77
1226903.67,20.6,2.02,225511.23,3.79
1228375.18,20.62,2.04,225981.48,3.79
1228208.14,20.63,2.04,225904.0,3.79
1228470.13,20.63,2.05,226321.79,3.8
1227860.48,20.62,2.04,225515.75,3.79
1227667.89,20.63,2.04,225501.93,3.79
1227475.3,20.63,2.04,225427.1,3.79
1227282.71,20.63,2.04,225413.28,3.79
1227090.11,20.63,2.04,225338.46,3.79
1226885.84,20.62,2.04,225124.47,3.78
1226961.75,20.63,2.05,226041.73,3.8
1226352.09,20.62,2.04,225235.7,3.79
1225932.43,20.62,2.04,224619.66,3.78
1225953.37,20.62,2.04,224542.95,3.78
1227604.36,20.65,2.07,225192.44,3.79
1227411.77,20.65,2.07,225107.92,3.79
1227213.5,20.65,2.07,225033.34,3.79
1227020.91,20.65,2.07,225029.21,3.79
1226841.48,20.65,2.07,224971.04,3.79
1226841.48,20.65,2.07,224971.04,3.79
1227088.5,20.66,2.08,225559.98,3.8
1227751.47,20.67,2.09,226677.32,3.82
1227877.67,20.67,2.09,226623.66,3.82
1227877.67,20.67,2.09,226623.66,3.82
1227679.4,20.67,2.09,226540.27,3.81
1227572.52,20.68,2.1,227136.73,3.83
1227470.83,20.68,2.1,226941.57,3.82
1227452.47,20.68,2.1,226782.26,3.82
1227259.88,20.68,2.1,226697.94,3.82
1226650.22,20.67,2.09,225891.9,3.81
1226457.63,20.67,2.09,225887.57,3.81
1226037.97,20.67,2.09,225271.54,3.8
1225835.32,20.67,2.09,225150.77,3.8
1224265.68,20.67,2.09,225070.57,3.8
1223846.02,20.66,2.09,224454.53,3.79
1223653.43,20.66,2.09,224440.7,3.79
1223875.06,20.67,2.09,224775.65,3.8
1223705.06,20.67,2.09,224321.18,3.79
1223661.3,20.67,2.1,224158.27,3.79
1224611.98,20.69,2.11,225353.17,3.81
1223915.53,20.68,2.11,224626.35,3.8
1223409.08,20.68,2.1,224089.52,3.79
1223535.29,20.68,2.1,224035.86,3.79
1223337.02,20.68,2.1,223952.48,3.79
1223230.14,20.68,2.11,224549.61,3.8
1222966.0,20.68,2.11,224204.8,3.79
1222356.35,20.68,2.1,223398.76,3.78
1222163.76,20.68,2.1,223317.04,3.78
1221971.17,20.68,2.1,223310.12,3.78
1221274.72,20.67,2.09,222583.29,3.77
1221082.13,20.67,2.09,222569.46,3.77
1221344.84,20.67,2.1,222821.84,3.77
1221152.25,20.67,2.1,222747.02,3.77
1221152.25,20.67,2.1,222747.02,3.77
1221795.83,20.69,2.11,222993.16,3.78
1221795.83,20.69,2.11,222993.16,3.78
1221626.46,20.69,2.11,223072.17,3.78
1221540.88,20.69,2.12,222455.2,3.77
1221540.88,20.69,2.12,222455.2,3.77
1221373.84,20.69,2.12,222433.7,3.77
1221169.12,20.69,2.11,222241.4,3.77
1220976.53,20.69,2.11,222217.38,3.77
1220900.63,20.69,2.12,222321.22,3.77
1220900.63,20.69,2.12,222321.22,3.77
1222612.65,20.72,2.14,223645.31,3.79
1223613.15,20.74,2.16,225473.82,3.82
1223445.15,20.74,2.16,224849.81,3.81
1223466.08,20.74,2.17,224951.14,3.81
1223466.08,20.74,2.17,224967.13,3.81
1223299.05,20.74,2.17,224889.8,3.81
1223081.97,20.74,2.16,224672.73,3.81
1222914.94,20.74,2.16,224668.43,3.81
1222675.74,20.74,2.16,224478.02,3.81
1222508.71,20.74,2.16,224469.08,3.81
1222149.69,20.74,2.16,224117.14,3.8
1222170.62,20.74,2.16,224205.92,3.8
1222155.92,20.74,2.16,224254.23,3.81
1222282.13,20.75,2.17,224200.57,3.81
1222102.7,20.75,2.17,224139.32,3.81
1221960.72,20.75,2.17,225042.21,3.82
1221793.68,20.75,2.17,224964.77,3.82
1222016.87,20.75,2.18,224704.39,3.82
1221849.83,20.76,2.18,224700.21,3.82
1221682.8,20.76,2.18,224678.7,3.82
1221944.79,20.76,2.18,224972.28,3.82
1221575.77,20.76,2.18,224678.58,3.82
1221490.19,20.76,2.18,224061.62,3.81
1222218.86,20.78,2.2,225503.43,3.83
1222020.59,20.78,2.2,225456.13,3.83
1221841.16,20.78,2.2,225370.68,3.83
1222240.07,20.78,2.2,226246.38,3.85
1222103.85,20.79,2.21,225946.78,3.84
1221592.79,20.78,2.2,225494.45,3.84
1221613.72,20.78,2.2,225591.77,3.84
1221446.69,20.78,2.2,225596.28,3.84
1221006.26,20.78,2.2,224814.7,3.83
1220807.99,20.78,2.2,224767.4,3.83
1220828.92,20.78,2.2,224864.72,3.83
1220849.85,20.79,2.21,225008.68,3.83
1220651.58,20.79,2.21,224904.39,3.83
1220977.42,20.79,2.21,225665.95,3.84
1220712.39,20.79,2.21,225275.45,3.84
1220712.39,20.79,2.21,225275.45,3.84
1220712.39,20.79,2.21,225273.34,3.84
1220545.36,20.79,2.21,225251.84,3.84
1220545.36,20.79,2.21,225251.84,3.84
1220378.32,20.79,2.21,225191.72,3.84
1220378.32,20.79,2.21,225191.72,3.84
1220399.26,20.8,2.22,225289.04,3.84
1220232.22,20.8,2.22,225271.54,3.84
1220074.88,20.8,2.21,225117.35,3.84
1219907.85,20.8,2.22,225039.85,3.84
1219928.78,20.8,2.22,225219.18,3.84
1219949.71,20.8,2.22,225316.51,3.84
1219949.71,20.8,2.22,225316.51,3.84
1219782.68,20.8,2.22,225321.25,3.84
1219468.46,20.8,2.22,225011.48,3.84
1219301.43,20.8,2.22,224934.34,3.84
1219134.39,20.8,2.22,224929.86,3.84
1219134.39,20.8,2.22,224929.86,3.84
1218840.51,20.8,2.21,224645.36,3.83
1218673.47,20.8,2.21,224636.42,3.83
1218506.44,20.8,2.21,224563.74,3.83
1218506.44,20.8,2.21,224563.74,3.83
1218339.41,20.8,2.21,224554.79,3.83
1218172.38,20.8,2.22,224482.11,3.83
1218193.31,20.8,2.22,224579.43,3.84
1218026.28,20.8,2.22,224584.33,3.84
1218026.28,20.8,2.22,224584.33,3.84
1217859.24,20.8,2.22,224507.03,3.84
1217692.21,20.81,2.22,224502.7,3.84
1217525.18,20.81,2.22,224481.2,3.84
1217765.31,20.81,2.23,224463.06,3.84
1217598.27,20.81,2.23,224402.94,3.84
1217431.24,20.81,2.23,224400.93,3.84
1217452.17,20.82,2.23,224482.76,3.84
1217473.1,20.82,2.23,224580.09,3.84
1217306.07,20.82,2.23,224584.83,3.84
1217306.07,20.82,2.23,224584.83,3.84
1217306.07,20.82,2.23,224584.83,3.84
1217139.04,20.82,2.23,224582.82,3.84
1216995.91,20.82,2.23,224715.28,3.84
1216828.87,20.82,2.23,224635.66,3.84
1216636.28,20.82,2.23,224623.77,3.84
1216657.22,20.82,2.23,224721.1,3.85
