ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d48f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d48f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d48f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d48f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d48f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
164,570,450700,6212,450700
164,570,451700,6212,451700
164,570,452700,6212,452700
164,570,453700,6212,453700
164,570,454700,6212,454700
164,570,455700,6212,455700
164,570,456700,6212,456700
164,570,456700,6212,456700
164,570,456700,6212,456700
164,570,456930,6212,456930
165,578,457930,6212,457930
165,578,457930,6212,457930
165,578,458250,6212,458250
165,578,458720,6212,458720
165,578,459720,6212,459720
165,578,460720,6212,460720
165,578,461720,6212,461720
166,580,462530,6212,462530
166,580,463340,6212,463340
166,580,463820,6212,463820
166,580,464820,6212,464820
166,580,465820,6212,465820
166,580,466820,6212,466820
166,580,466820,6212,466820
166,580,467820,6212,467820
167,582,468820,6212,468820
168,586,469630,6212,469630
168,586,470630,6212,470630
169,588,471100,6212,471100
170,596,472100,6212,472100
170,596,472910,6212,472910
170,596,473720,6212,473720
171,600,474720,6212,474720
171,600,475720,6212,475720
171,600,476720,6212,476720
171,600,477530,6212,477530
171,600,477760,6212,477760
171,600,478760,6212,478760
171,600,478760,6212,478760
171,600,479760,6212,479760
171,600,479980,6212,479980
172,608,480450,6212,480450
173,610,481260,6212,481260
173,610,482260,6212,482260
174,612,483260,6212,483260
174,612,484260,6212,484260
175,620,485070,6212,485070
175,620,485660,6212,485660
176,622,486660,6212,486660
177,630,494660,6212,494660
178,638,495210,6212,495210
178,638,496020,6212,496020
178,638,496020,6212,496020
179,640,497020,6212,497020
179,640,498020,6212,498020
179,640,498020,6212,498020
179,640,499020,6212,499020
179,640,500020,6212,500020
179,640,500250,6212,500250
180,642,501250,6212,501250
180,642,501410,6212,501410
180,642,502410,6212,502410
180,642,503410,6212,503410
180,642,504410,6212,504410
180,642,504880,6212,504880
180,642,505350,6212,505350
181,644,505820,6212,505820
181,644,506820,6212,506820
182,646,507630,6212,507630
182,646,508630,6212,508630
182,646,509630,6212,509630
182,646,509950,6212,509950
182,646,510760,6212,510760
182,646,511080,6212,511080
182,646,511550,6212,511550
182,646,512360,6212,512360
182,646,512830,6212,512830
183,654,513830,6212,513830
183,654,514300,6212,514300
183,654,514300,6212,514300
183,654,514620,6212,514620
183,654,515620,6212,515620
183,654,516620,6212,516620
183,654,517430,6212,517430
183,654,518430,6212,518430
183,654,518900,6212,518900
183,654,519220,6212,519220
183,654,519690,6212,519690
183,654,520500,6212,520500
183,654,520970,6212,520970
184,658,521970,6212,521970
184,658,522970,6212,522970
185,660,523970,6212,523970
185,660,523970,6212,523970
185,660,524620,6212,524620
185,660,525620,6212,525620
185,660,526430,6212,526430
185,660,526430,6212,526430
185,660,527240,6212,527240
185,660,528240,6212,528240
186,668,529240,6212,529240
186,668,529710,6212,529710
186,668,529710,6212,529710
186,668,529710,6212,529710
186,668,530710,6212,530710
186,668,531710,6212,531710
186,668,532710,6212,532710
186,668,533710,6212,533710
186,668,534710,6212,534710
186,668,535030,6212,535030
186,668,536030,6212,536030
187,672,537030,6212,537030
187,672,537030,6212,537030
187,672,537030,6212,537030
187,672,538030,6212,538030
188,680,539030,6212,539030
188,680,539500,6212,539500
189,688,540500,6212,540500
189,688,540500,6212,540500
189,688,541150,6212,541150
189,688,542150,6212,542150
190,690,542620,6212,542620
190,690,542620,6212,542620
190,690,542730,6212,542730
190,690,543200,6212,543200
190,690,544200,6212,544200
190,690,544200,6212,544200
191,692,545200,6212,545200
191,692,546200,6212,546200
192,700,547200,6212,547200
193,702,548200,6212,548200
193,702,549200,6212,549200
193,702,550200,6212,550200
193,702,551200,6212,551200
193,702,551430,6212,551430
193,702,552430,6212,552430
193,702,553430,6212,553430
193,702,554240,6212,554240
193,702,555240,6212,555240
193,702,556240,6212,556240
194,710,556700,6212,556700
195,718,557700,6212,557700
196,720,558160,6212,558160
196,720,559160,6212,559160
197,722,559970,6212,559970
197,722,559970,6212,559970
197,722,560970,6212,560970
197,722,561970,6212,561970
197,722,562970,6212,562970
197,722,563780,6212,563780
197,722,564370,6212,564370
197,722,564840,6212,564840
197,722,565840,6212,565840
198,730,569840,6212,569840
198,730,569840,6212,569840
198,730,570310,6212,570310
198,730,570310,6212,570310
198,730,570630,6212,570630
198,730,571440,6212,571440
198,730,572440,6212,572440
198,730,573440,6212,573440
198,730,573440,6212,573440
198,730,574440,6212,574440
198,730,574670,6212,574670
199,738,575670,6212,575670
199,738,576670,6212,576670
199,738,577670,6212,577670
199,738,577670,6212,577670
200,740,578670,6212,578670
200,740,579140,6212,579140
200,740,579790,6212,579790
200,740,580790,6212,580790
201,744,581790,6212,581790
201,744,581790,6212,581790
201,744,582790,6212,582790
201,744,583260,6212,583260
201,744,583580,6212,583580
202,752,584390,6212,584390
202,752,585200,6212,585200
202,752,585670,6212,585670
203,754,586670,6212,586670
203,754,586670,6212,586670
203,754,587670,6212,587670
203,754,588670,6212,588670
203,754,589670,6212,589670
203,754,590670,6212,590670
204,758,590890,6212,590890
204,758,591890,6212,591890
205,766,592890,6212,592890
205,766,593890,6212,593890
205,766,594700,6212,594700
205,766,594700,6212,594700
205,766,595160,6212,595160
205,766,595380,6212,595380
206,774,596380,6212,596380
206,774,597380,6212,597380
206,774,597850,6212,597850
206,774,598850,6212,598850
206,774,599850,6212,599850
206,774,600850,6212,600850
207,782,608850,6212,608850
208,790,609170,6212,609170
208,790,609720,6212,609720
208,790,610720,6212,610720
208,790,610720,6212,610720
208,790,611720,6212,611720
208,790,612530,6212,612530
208,790,613000,6212,613000
208,790,613810,6212,613810
208,790,614810,6212,614810
208,790,615030,6212,615030
208,790,616030,6212,616030
208,790,616500,6212,616500
208,790,617310,6212,617310
208,790,618310,6212,618310
209,792,619120,6212,619120
209,792,619440,6212,619440
209,792,619440,6212,619440
209,792,620250,6212,620250
210,796,621060,6212,621060
210,796,621060,6212,621060
210,796,621060,6212,621060
210,796,621870,6212,621870
210,796,622870,6212,622870
210,796,623680,6212,623680
210,796,624000,6212,624000
211,804,624810,6212,624810
211,804,625810,6212,625810
211,804,626620,6212,626620
211,804,627620,6212,627620
211,804,628620,6212,628620
211,804,628940,6212,628940
211,804,629940,6212,629940
211,804,630400,6212,630400
211,804,631400,6212,631400
211,804,632210,6212,632210
212,806,633210,6212,633210
212,806,634210,6212,634210
213,814,635210,6212,635210
213,814,635210,6212,635210
213,814,636020,6212,636020
213,814,637020,6212,637020
213,814,637020,6212,637020
213,814,638020,6212,638020
213,814,638830,6212,638830
214,816,639830,6212,639830
214,816,640830,6212,640830
214,816,641830,6212,641830
214,816,642640,6212,642640
214,816,643450,6212,643450
214,816,643670,6212,643670
214,816,644670,6212,644670
214,816,645130,6212,645130
214,816,645940,6212,645940
215,824,646940,6212,646940
