ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b34c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b34c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b34c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b34c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b34c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
625453.32,10.64,0.41,175518.96,2.98
625351.1,10.64,0.41,175434.45,2.98
625351.1,10.64,0.41,175420.02,2.98
625351.1,10.64,0.41,175420.02,2.98
625248.88,10.64,0.41,175389.47,2.98
625146.66,10.64,0.41,175328.33,2.98
625044.44,10.64,0.41,175233.47,2.98
624942.22,10.64,0.41,175240.26,2.98
625039.86,10.64,0.42,175055.74,2.98
625362.65,10.65,0.42,176056.37,3.0
625260.43,10.65,0.42,175957.9,3.0
625260.43,10.65,0.42,175957.9,3.0
625158.21,10.65,0.42,175866.22,2.99
625022.65,10.64,0.42,175712.03,2.99
625299.27,10.65,0.43,176091.39,3.0
625299.27,10.65,0.43,176091.39,3.0
625385.68,10.65,0.43,176091.2,3.0
625283.46,10.65,0.43,176091.2,3.0
625283.46,10.65,0.43,176091.2,3.0
625181.24,10.65,0.43,176115.71,3.0
625079.02,10.65,0.43,176120.81,3.0
625165.42,10.66,0.43,176101.18,3.0
625483.29,10.66,0.44,176506.73,3.01
625381.07,10.66,0.44,176513.51,3.01
625278.85,10.66,0.44,176415.04,3.01
625502.14,10.67,0.45,176597.51,3.01
625399.92,10.67,0.45,176505.83,3.01
625241.29,10.67,0.44,176367.43,3.01
624944.72,10.66,0.44,176063.54,3.0
624842.5,10.66,0.44,176383.39,3.01
624740.27,10.66,0.44,176383.39,3.01
624740.27,10.66,0.44,176383.39,3.01
624638.05,10.66,0.44,176291.7,3.01
624638.05,10.66,0.44,176291.7,3.01
624482.1,10.66,0.44,176132.86,3.01
624323.47,10.66,0.43,176060.34,3.01
624409.88,10.66,0.44,176060.16,3.01
624307.66,10.66,0.44,176060.16,3.01
624394.06,10.66,0.44,176060.16,3.01
624291.84,10.66,0.44,176075.93,3.01
624189.62,10.66,0.44,176070.46,3.01
624087.4,10.66,0.44,176062.56,3.01
624173.81,10.67,0.44,176060.16,3.01
624071.59,10.67,0.44,176060.16,3.01
623701.49,10.66,0.44,175901.25,3.01
623599.27,10.66,0.44,176466.73,3.02
623497.05,10.66,0.44,176375.04,3.02
623583.46,10.66,0.44,176561.54,3.02
623481.24,10.66,0.44,176568.33,3.02
623379.02,10.66,0.44,176469.86,3.02
623704.97,10.67,0.45,176470.75,3.02
623602.74,10.67,0.45,176454.0,3.02
623689.15,10.67,0.45,176548.26,3.02
623586.93,10.67,0.45,176549.49,3.02
623484.71,10.67,0.45,176547.19,3.02
623511.95,10.67,0.45,176568.24,3.02
623409.72,10.67,0.45,177007.28,3.03
623341.22,10.67,0.45,177588.01,3.04
623346.71,10.67,0.45,177589.42,3.04
623244.49,10.67,0.45,177558.86,3.04
623142.27,10.67,0.45,177497.73,3.04
623040.05,10.67,0.45,177497.54,3.04
622937.83,10.67,0.45,177497.54,3.04
622835.61,10.67,0.45,177638.71,3.04
