ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
732262.2,12.4,2.17,180476.28,3.06
732348.61,12.4,2.18,180527.13,3.06
732246.38,12.4,2.18,180527.13,3.06
732246.38,12.4,2.18,180527.13,3.06
732246.38,12.4,2.18,180527.13,3.06
732144.16,12.4,2.18,180872.01,3.06
732041.94,12.4,2.18,180901.12,3.06
731939.72,12.4,2.18,180892.6,3.06
731837.5,12.4,2.18,180809.43,3.06
732060.79,12.41,2.18,180876.39,3.07
731958.57,12.41,2.18,181007.47,3.07
731587.41,12.4,2.18,180636.32,3.06
731485.19,12.4,2.18,180544.63,3.06
731127.02,12.4,2.17,180240.64,3.06
731024.8,12.4,2.18,180240.64,3.06
730922.58,12.4,2.18,180148.95,3.06
730820.36,12.4,2.18,180148.95,3.06
730820.36,12.4,2.18,180148.95,3.06
730718.14,12.4,2.18,180057.27,3.06
731044.09,12.4,2.18,180492.23,3.06
730941.87,12.41,2.18,180400.54,3.06
730839.65,12.41,2.18,180400.54,3.06
731078.25,12.41,2.19,180593.16,3.07
730710.08,12.41,2.18,180218.19,3.06
731036.03,12.41,2.19,180331.04,3.06
730766.7,12.41,2.19,180371.93,3.06
730853.11,12.41,2.19,180458.09,3.06
731179.06,12.42,2.2,180570.94,3.07
731076.84,12.42,2.2,180740.39,3.07
731076.84,12.42,2.2,180740.39,3.07
730502.85,12.41,2.19,179936.82,3.06
730125.68,12.41,2.18,179309.09,3.05
730125.68,12.41,2.18,179309.09,3.05
729757.51,12.4,2.18,178995.1,3.04
729183.52,12.39,2.17,178191.52,3.03
729081.3,12.39,2.17,178099.83,3.03
728979.08,12.39,2.17,178099.83,3.03
729305.03,12.4,2.18,178212.68,3.03
729109.52,12.4,2.18,178052.95,3.03
729007.3,12.4,2.18,178222.41,3.03
728905.08,12.4,2.18,178229.19,3.03
728905.08,12.4,2.18,178229.19,3.03
728905.08,12.4,2.18,178229.19,3.03
728802.86,12.4,2.18,178130.72,3.03
728700.63,12.4,2.18,178100.16,3.03
728598.41,12.4,2.18,178039.03,3.03
728496.19,12.4,2.18,178045.82,3.03
728582.6,12.4,2.18,178116.55,3.03
728224.43,12.4,2.18,177812.56,3.03
