ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
1202002.21,20.51,0.51,255257.09,4.35
1201795.19,20.51,0.51,255374.91,4.36
1202028.91,20.51,0.51,255470.94,4.36
1202009.23,20.51,0.51,255786.45,4.37
1202133.79,20.52,0.52,255818.49,4.37
1202133.79,20.52,0.52,255778.67,4.37
1201926.77,20.52,0.52,255906.52,4.37
1201921.12,20.52,0.52,255454.67,4.36
1201921.12,20.52,0.52,255454.67,4.36
1201714.11,20.52,0.52,255353.78,4.36
1201603.19,20.52,0.52,255128.33,4.36
1201603.19,20.52,0.52,255088.51,4.36
1201396.18,20.52,0.52,255081.49,4.36
1201189.16,20.52,0.52,255050.99,4.36
1200808.42,20.52,0.52,254902.69,4.36
1200808.42,20.52,0.52,254902.69,4.36
1200601.4,20.52,0.52,254825.28,4.35
1200394.39,20.52,0.52,254808.74,4.36
1200394.39,20.52,0.52,254808.74,4.36
1200187.37,20.52,0.52,254717.37,4.35
1199187.37,20.5,0.5,253717.37,4.34
1199187.37,20.5,0.5,253677.55,4.34
1199421.09,20.51,0.51,253750.99,4.34
1199214.07,20.51,0.51,253904.38,4.34
1198912.49,20.51,0.51,253614.64,4.34
1198906.84,20.51,0.51,253162.79,4.33
1198795.93,20.51,0.51,252937.34,4.33
1198415.19,20.5,0.5,252662.6,4.32
1198208.18,20.5,0.5,252564.06,4.32
1198441.89,20.51,0.51,252981.43,4.33
1198284.56,20.51,0.51,252824.1,4.33
1197903.82,20.5,0.5,252457.36,4.32
1198145.86,20.51,0.51,252692.76,4.33
1197938.84,20.51,0.51,252766.26,4.33
1197933.19,20.51,0.51,252314.41,4.32
1197822.28,20.51,0.51,252088.96,4.32
