ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5d8b-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5d8b-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_ratio,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5d8b-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_q124,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5d8b-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5d8b-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_ratio
894725.26,15.24,2.55,536445.82,9.14
894725.26,15.24,2.55,536445.82,9.14
894018.65,15.23,2.54,535696.47,9.13
894018.65,15.23,2.54,535696.47,9.13
894010.0,15.24,2.54,535818.59,9.13
894660.57,15.25,2.56,535787.51,9.13
893953.96,15.24,2.55,535038.15,9.12
894223.49,15.24,2.55,535064.09,9.12
894029.98,15.24,2.55,535132.02,9.12
894029.98,15.24,2.55,535132.02,9.12
893860.99,15.24,2.55,535013.2,9.12
893667.48,15.24,2.55,534854.63,9.12
893480.88,15.24,2.55,534625.28,9.12
893454.27,15.24,2.55,534555.93,9.12
892438.89,15.24,2.55,534072.46,9.12
891423.5,15.25,2.56,533614.49,9.13
891380.35,15.25,2.56,533296.87,9.12
892714.37,15.28,2.58,534332.96,9.14
892714.37,15.28,2.58,534332.96,9.14
894102.35,15.3,2.61,535427.37,9.16
893086.96,15.31,2.61,534943.9,9.17
892071.58,15.31,2.62,534485.93,9.17
891902.59,15.31,2.62,534275.13,9.17
891524.06,15.3,2.61,533963.88,9.17
891330.55,15.3,2.61,533897.29,9.17
891330.55,15.3,2.61,533897.29,9.17
891633.98,15.31,2.62,534064.26,9.17
891633.98,15.31,2.62,534064.26,9.17
891633.98,15.31,2.62,534064.26,9.17
891633.98,15.31,2.62,534064.26,9.17
892329.61,15.32,2.63,534289.68,9.18
892194.52,15.32,2.63,533920.24,9.17
892818.55,15.34,2.65,534161.75,9.18
892799.92,15.34,2.65,534088.98,9.18
893544.52,15.36,2.66,534315.32,9.18
893737.42,15.36,2.67,534320.52,9.18
894069.34,15.37,2.67,534696.91,9.19
894069.34,15.37,2.67,534696.91,9.19
894740.25,15.38,2.69,534820.75,9.19
895047.3,15.39,2.7,535290.19,9.2
895316.84,15.39,2.7,535317.62,9.2
895668.65,15.4,2.71,535703.7,9.21
895475.14,15.4,2.71,535844.3,9.22
895096.61,15.4,2.7,535458.88,9.21
894927.62,15.39,2.7,535248.07,9.21
893625.7,15.39,2.7,534292.58,9.2
893007.04,15.39,2.69,533654.8,9.19
892813.53,15.38,2.69,533588.21,9.19
892786.93,15.38,2.69,533518.86,9.19
892651.83,15.39,2.69,533363.77,9.19
891945.22,15.38,2.68,532614.42,9.18
891918.62,15.38,2.68,532545.07,9.18
892589.53,15.39,2.7,532619.11,9.18
892420.54,15.39,2.7,532408.3,9.18
892227.03,15.39,2.7,532341.72,9.18
891211.65,15.39,2.7,531883.75,9.19
891211.65,15.39,2.7,531883.75,9.19
891506.69,15.4,2.71,532223.27,9.19
891337.7,15.4,2.71,532019.89,9.19
891472.19,15.4,2.71,532270.41,9.2
890955.59,15.4,2.7,531711.06,9.19
890786.6,15.4,2.7,531524.76,9.19
890079.99,15.39,2.69,530775.41,9.18
889886.48,15.39,2.69,530684.32,9.18
889369.87,15.38,2.69,530124.97,9.17
888683.92,15.37,2.68,529402.83,9.16
888256.61,15.36,2.67,528769.28,9.15
888132.57,15.37,2.67,528574.72,9.14
887971.52,15.36,2.67,528362.37,9.14
887877.77,15.37,2.67,528304.06,9.14
888121.64,15.37,2.68,528838.7,9.15
887683.84,15.37,2.68,528294.27,9.15
888417.03,15.38,2.69,528758.5,9.15
887989.73,15.38,2.68,528124.95,9.14
886687.8,15.37,2.68,527169.46,9.14
887057.88,15.38,2.69,528054.33,9.16
