ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fc42-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fc42-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fc42-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fc42-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fc42-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
341,750,611970,6212,611970
341,750,611970,6212,611970
342,752,612970,6212,612970
342,752,613970,6212,613970
342,752,613970,6212,613970
343,754,614970,6212,614970
343,754,615970,6212,615970
344,756,616440,6212,616440
344,756,616440,6212,616440
344,756,617250,6212,617250
345,758,618250,6212,618250
345,758,618360,6212,618360
345,758,619360,6212,619360
346,760,620360,6212,620360
346,760,620580,6212,620580
346,760,621580,6212,621580
346,760,621580,6212,621580
347,762,622580,6212,622580
347,762,622810,6212,622810
347,762,623810,6212,623810
348,764,624620,6212,624620
348,764,625620,6212,625620
349,766,626620,6212,626620
349,766,627620,6212,627620
350,768,628620,6212,628620
350,768,628940,6212,628940
350,768,629940,6212,629940
351,770,630940,6212,630940
351,770,631940,6212,631940
351,770,632260,6212,632260
352,772,633070,6212,633070
352,772,633880,6212,633880
353,774,634530,6212,634530
353,774,635000,6212,635000
354,776,636000,6212,636000
354,776,636810,6212,636810
355,778,637810,6212,637810
355,778,638130,6212,638130
355,778,638130,6212,638130
355,778,639130,6212,639130
356,780,640130,6212,640130
356,780,640130,6212,640130
356,780,640940,6212,640940
357,782,641940,6212,641940
357,782,642940,6212,642940
357,782,643400,6212,643400
357,782,643400,6212,643400
358,784,644400,6212,644400
358,784,645210,6212,645210
359,786,645530,6212,645530
359,786,645900,6212,645900
359,786,646900,6212,646900
360,788,647900,6212,647900
360,788,648370,6212,648370
361,790,649370,6212,649370
361,790,650370,6212,650370
362,792,651370,6212,651370
362,792,652370,6212,652370
363,794,653370,6212,653370
363,794,654370,6212,654370
363,794,654600,6212,654600
364,796,655410,6212,655410
364,796,656220,6212,656220
365,798,656870,6212,656870
365,798,657870,6212,657870
365,798,657870,6212,657870
366,800,658680,6212,658680
366,800,659680,6212,659680
366,800,660050,6212,660050
367,802,660860,6212,660860
367,802,661330,6212,661330
368,804,662330,6212,662330
368,804,663330,6212,663330
369,806,664140,6212,664140
369,806,664140,6212,664140
369,806,664610,6212,664610
