ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
1992867.26,33.94,0.34,183156.71,3.12
1993046.11,33.94,0.35,183183.32,3.12
1992719.79,33.94,0.35,182668.7,3.11
1992719.79,33.94,0.35,182668.7,3.11
1992719.79,33.94,0.35,182668.7,3.11
1992382.95,33.94,0.35,182978.09,3.12
1992382.95,33.94,0.35,182978.09,3.12
1992004.0,33.94,0.35,182682.77,3.11
1992004.0,33.94,0.35,182682.77,3.11
1991909.79,33.94,0.35,183096.34,3.12
1991562.42,33.94,0.35,183487.58,3.13
1991350.84,33.94,0.35,183278.98,3.12
1991003.47,33.94,0.35,182974.89,3.12
1990835.58,33.94,0.35,182974.76,3.12
1990667.68,33.95,0.35,182974.76,3.12
1990667.68,33.95,0.35,182974.76,3.12
1990320.32,33.95,0.35,183267.6,3.13
1989987.05,33.94,0.35,182930.87,3.12
1989639.68,33.94,0.35,182901.27,3.12
1989292.32,33.94,0.35,183053.9,3.12
1989292.32,33.94,0.35,183053.9,3.12
1988996.0,33.94,0.35,182742.01,3.12
1988648.63,33.94,0.35,182741.7,3.12
1988301.26,33.94,0.35,182730.74,3.12
1988301.26,33.94,0.35,182730.74,3.12
1987953.89,33.94,0.35,182839.5,3.12
1987606.53,33.94,0.35,182024.47,3.11
1987512.32,33.94,0.35,182122.34,3.11
1987186.0,33.94,0.35,181816.72,3.11
1987186.0,33.94,0.35,181816.72,3.11
1986838.63,33.94,0.35,181726.58,3.1
1986491.26,33.94,0.35,181707.97,3.1
1986154.42,33.94,0.35,181890.8,3.11
