ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e32b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e32b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e32b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e32b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e32b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
320,772,619460,6212,619460
320,772,619460,6212,619460
320,772,619830,6212,619830
321,774,620830,6212,620830
321,774,621480,6212,621480
322,776,622480,6212,622480
322,776,623480,6212,623480
323,778,624480,6212,624480
323,778,624950,6212,624950
324,780,625950,6212,625950
324,780,626420,6212,626420
324,780,627420,6212,627420
325,782,628230,6212,628230
325,782,628550,6212,628550
325,782,629550,6212,629550
326,784,630550,6212,630550
326,784,630550,6212,630550
326,784,631200,6212,631200
327,786,632200,6212,632200
327,786,632670,6212,632670
328,788,633670,6212,633670
328,788,634670,6212,634670
329,790,635670,6212,635670
329,790,636670,6212,636670
330,792,637670,6212,637670
330,792,638480,6212,638480
331,794,639480,6212,639480
331,794,640290,6212,640290
332,796,641290,6212,641290
332,796,642100,6212,642100
332,796,642100,6212,642100
333,798,643100,6212,643100
333,798,644100,6212,644100
333,798,644570,6212,644570
334,802,645040,6212,645040
334,802,646040,6212,646040
334,802,646360,6212,646360
334,802,647170,6212,647170
334,802,647170,6212,647170
334,802,647980,6212,647980
335,804,648980,6212,648980
335,804,649980,6212,649980
336,806,650980,6212,650980
336,806,650980,6212,650980
336,806,651570,6212,651570
337,808,652380,6212,652380
337,808,652850,6212,652850
337,808,653320,6212,653320
337,808,653320,6212,653320
337,808,653790,6212,653790
338,810,654790,6212,654790
338,810,655790,6212,655790
339,812,656790,6212,656790
339,812,657600,6212,657600
340,816,658070,6212,658070
340,816,658070,6212,658070
340,816,658620,6212,658620
340,816,659090,6212,659090
340,816,660090,6212,660090
340,816,660410,6212,660410
340,816,661410,6212,661410
341,818,662410,6212,662410
341,818,663410,6212,663410
342,820,664220,6212,664220
342,820,665220,6212,665220
343,822,666220,6212,666220
343,822,666220,6212,666220
343,822,666540,6212,666540
343,822,667540,6212,667540
344,824,668130,6212,668130
344,824,669130,6212,669130
345,826,670130,6212,670130
345,826,670450,6212,670450
345,826,671450,6212,671450
346,828,672450,6212,672450
346,828,672920,6212,672920
347,830,673920,6212,673920
347,830,673920,6212,673920
347,830,674730,6212,674730
347,830,675200,6212,675200
347,830,675200,6212,675200
348,832,676200,6212,676200
348,832,676670,6212,676670
348,832,677130,6212,677130
349,834,678130,6212,678130
349,834,679130,6212,679130
350,836,680130,6212,680130
350,836,680130,6212,680130
350,836,681130,6212,681130
351,838,682130,6212,682130
351,838,683130,6212,683130
351,838,683130,6212,683130
352,840,684130,6212,684130
352,840,685130,6212,685130
353,848,693130,6212,693130
353,848,693130,6212,693130
354,850,694130,6212,694130
354,850,694780,6212,694780
355,852,695780,6212,695780
355,852,696590,6212,696590
356,854,697590,6212,697590
356,854,697910,6212,697910
356,854,697910,6212,697910
356,854,698720,6212,698720
357,856,699720,6212,699720
357,856,699720,6212,699720
357,856,700720,6212,700720
358,858,701530,6212,701530
358,858,702180,6212,702180
359,860,702990,6212,702990
359,860,703990,6212,703990
360,862,704990,6212,704990
360,862,705990,6212,705990
360,862,705990,6212,705990
360,862,706310,6212,706310
361,864,706780,6212,706780
361,864,707590,6212,707590
362,866,708400,6212,708400
362,866,708870,6212,708870
362,866,709340,6212,709340
362,866,709340,6212,709340
362,866,709810,6212,709810
363,868,710810,6212,710810
363,868,711810,6212,711810
364,870,712810,6212,712810
364,870,713810,6212,713810
364,870,713810,6212,713810
364,870,713810,6212,713810
365,872,714810,6212,714810
365,872,715810,6212,715810
366,874,716810,6212,716810
366,874,717810,6212,717810
367,876,718620,6212,718620
367,876,719620,6212,719620
368,878,720620,6212,720620
368,878,721620,6212,721620
369,880,722620,6212,722620
369,880,723430,6212,723430
370,882,724430,6212,724430
370,882,725430,6212,725430
371,884,726430,6212,726430
371,884,727240,6212,727240
371,884,727240,6212,727240
372,886,728240,6212,728240
372,886,729240,6212,729240
373,890,729710,6212,729710
374,892,730300,6212,730300
374,892,731300,6212,731300
374,892,731300,6212,731300
374,892,732300,6212,732300
374,892,733300,6212,733300
374,892,734300,6212,734300
374,892,734300,6212,734300
375,894,735110,6212,735110
