ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1522-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_nodes,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1522-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1522-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpu_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1522-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-total_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1522-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-arrived_gpu_milli
527,2615,506820,6212,506820
527,2615,507630,6212,507630
527,2615,508630,6212,508630
528,2617,509630,6212,509630
528,2617,509950,6212,509950
528,2617,510760,6212,510760
529,2625,511080,6212,511080
529,2625,511550,6212,511550
530,2633,512360,6212,512360
531,2641,512830,6212,512830
532,2649,513830,6212,513830
532,2649,514300,6212,514300
533,2653,514300,6212,514300
533,2653,514620,6212,514620
533,2653,515620,6212,515620
533,2653,516620,6212,516620
533,2653,517430,6212,517430
534,2655,518430,6212,518430
535,2663,518900,6212,518900
535,2663,519220,6212,519220
536,2671,519690,6212,519690
537,2673,520500,6212,520500
538,2681,520970,6212,520970
539,2683,521970,6212,521970
539,2683,522970,6212,522970
539,2683,523970,6212,523970
539,2683,523970,6212,523970
540,2691,524620,6212,524620
541,2699,525620,6212,525620
542,2701,526430,6212,526430
542,2701,526430,6212,526430
542,2701,527240,6212,527240
543,2709,528240,6212,528240
543,2709,529240,6212,529240
543,2709,529710,6212,529710
543,2709,529710,6212,529710
543,2709,529710,6212,529710
544,2717,530710,6212,530710
545,2725,531710,6212,531710
546,2727,532710,6212,532710
546,2727,533710,6212,533710
547,2735,534710,6212,534710
547,2735,535030,6212,535030
548,2743,536030,6212,536030
548,2743,537030,6212,537030
548,2743,537030,6212,537030
549,2745,537030,6212,537030
549,2745,538030,6212,538030
549,2745,539030,6212,539030
550,2753,539500,6212,539500
550,2753,540500,6212,540500
550,2753,540500,6212,540500
551,2761,541150,6212,541150
552,2763,542150,6212,542150
552,2763,542620,6212,542620
553,2771,542620,6212,542620
553,2771,542730,6212,542730
554,2773,543200,6212,543200
554,2773,544200,6212,544200
554,2773,544200,6212,544200
554,2773,545200,6212,545200
554,2773,546200,6212,546200
555,2781,547200,6212,547200
556,2783,548200,6212,548200
557,2791,549200,6212,549200
558,2799,550200,6212,550200
559,2807,551200,6212,551200
560,2811,551430,6212,551430
560,2811,552430,6212,552430
560,2811,553430,6212,553430
560,2811,554240,6212,554240
560,2811,555240,6212,555240
561,2819,556240,6212,556240
562,2821,556700,6212,556700
563,2823,557700,6212,557700
563,2823,558160,6212,558160
563,2823,559160,6212,559160
564,2825,559970,6212,559970
564,2825,559970,6212,559970
565,2833,560970,6212,560970
566,2841,561970,6212,561970
567,2842,562970,6212,562970
568,2846,563780,6212,563780
569,2848,564370,6212,564370
570,2856,564840,6212,564840
570,2856,565840,6212,565840
571,2864,569840,6212,569840
572,2872,569840,6212,569840
572,2872,570310,6212,570310
572,2872,570310,6212,570310
573,2874,570630,6212,570630
573,2874,571440,6212,571440
573,2874,572440,6212,572440
573,2874,573440,6212,573440
574,2876,573440,6212,573440
575,2884,574440,6212,574440
576,2892,574670,6212,574670
576,2892,575670,6212,575670
576,2892,576670,6212,576670
576,2892,577670,6212,577670
576,2892,577670,6212,577670
576,2892,578670,6212,578670
576,2892,579140,6212,579140
576,2892,579790,6212,579790
576,2892,580790,6212,580790
577,2893,581790,6212,581790
577,2893,581790,6212,581790
578,2895,582790,6212,582790
578,2895,583260,6212,583260
578,2895,583580,6212,583580
578,2895,584390,6212,584390
578,2895,585200,6212,585200
579,2903,585670,6212,585670
579,2903,586670,6212,586670
579,2903,586670,6212,586670
579,2903,587670,6212,587670
580,2905,588670,6212,588670
580,2905,589670,6212,589670
581,2913,590670,6212,590670
581,2913,590890,6212,590890
582,2915,591890,6212,591890
582,2915,592890,6212,592890
583,2923,593890,6212,593890
584,2925,594700,6212,594700
584,2925,594700,6212,594700
584,2925,595160,6212,595160
585,2927,595380,6212,595380
586,2929,596380,6212,596380
586,2929,597380,6212,597380
587,2931,597850,6212,597850
588,2933,598850,6212,598850
588,2933,599850,6212,599850
589,2935,600850,6212,600850
590,2943,608850,6212,608850
590,2943,609170,6212,609170
591,2951,609720,6212,609720
591,2951,610720,6212,610720
