ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2a7f-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2a7f-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2a7f-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2a7f-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2a7f-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
967728.08,16.15,2.53,233519.35,3.9
971183.26,16.21,2.59,236740.65,3.95
972763.14,16.24,2.62,237633.51,3.97
972378.88,16.23,2.61,237105.49,3.96
972430.82,16.23,2.61,237289.85,3.96
972666.84,16.24,2.62,237649.25,3.97
976122.02,16.3,2.68,240870.55,4.02
975949.8,16.3,2.68,240279.87,4.01
976962.18,16.31,2.69,242032.15,4.04
977968.54,16.33,2.71,243201.01,4.06
977674.27,16.33,2.71,243061.18,4.06
977846.08,16.33,2.71,243060.93,4.06
977709.88,16.33,2.71,242950.8,4.06
977617.01,16.33,2.71,243566.86,4.07
977825.3,16.34,2.72,243558.75,4.07
978061.32,16.34,2.72,243918.14,4.08
978580.31,16.35,2.73,243758.45,4.07
979402.56,16.37,2.75,244111.73,4.08
980209.47,16.39,2.76,245030.37,4.1
980261.4,16.39,2.77,245153.34,4.1
980125.19,16.39,2.77,245062.21,4.1
980297.01,16.39,2.77,245061.96,4.1
980528.13,16.4,2.78,245006.01,4.1
980982.77,16.41,2.79,247024.46,4.13
980846.56,16.41,2.79,246978.76,4.13
981025.17,16.41,2.79,246799.69,4.13
981239.75,16.42,2.79,247069.33,4.13
980924.06,16.41,2.79,246315.75,4.12
980595.6,16.41,2.79,246022.3,4.12
980294.82,16.41,2.78,245717.93,4.11
980294.82,16.41,2.78,245743.77,4.11
980294.82,16.41,2.78,245743.81,4.11
980346.75,16.41,2.79,245866.79,4.12
980568.07,16.41,2.79,245915.21,4.12
980568.07,16.41,2.79,245938.98,4.12
980409.93,16.41,2.79,245828.24,4.11
980461.87,16.41,2.79,245899.36,4.12
980643.48,16.42,2.8,245794.75,4.12
980507.27,16.42,2.8,245749.05,4.12
980404.6,16.42,2.8,246766.63,4.13
980511.13,16.42,2.8,246664.21,4.13
980732.45,16.43,2.81,246712.63,4.13
980732.45,16.43,2.81,246695.97,4.13
980378.76,16.42,2.8,246235.16,4.13
980430.69,16.43,2.81,246312.7,4.13
981975.56,16.45,2.83,248855.58,4.17
981839.36,16.45,2.83,248809.89,4.17
981891.29,16.46,2.84,248887.42,4.17
982890.28,16.47,2.85,249407.84,4.18
983111.6,16.48,2.86,249456.26,4.18
983163.53,16.48,2.86,249579.24,4.18
983485.17,16.49,2.87,249765.91,4.19
983312.97,16.49,2.87,249792.16,4.19
983186.57,16.49,2.87,249652.5,4.19
983028.43,16.49,2.87,249498.72,4.18
983238.13,16.49,2.87,250514.01,4.2
983268.69,16.49,2.87,250271.69,4.2
983320.62,16.5,2.88,250394.66,4.2
983575.68,16.5,2.88,250610.56,4.2
983627.61,16.51,2.89,250733.54,4.21
983848.93,16.51,2.89,250867.77,4.21
983848.93,16.51,2.89,250886.38,4.21
983900.86,16.51,2.89,251009.36,4.21
983764.66,16.52,2.89,250918.22,4.21
983477.13,16.51,2.89,250782.88,4.21
983705.2,16.52,2.9,250766.91,4.21
983705.2,16.52,2.9,250766.91,4.21
983410.93,16.51,2.89,250652.46,4.21
983274.72,16.51,2.89,250722.46,4.21
983274.72,16.51,2.89,250722.46,4.21
983326.65,16.52,2.9,250845.43,4.21
983378.59,16.52,2.9,250916.56,4.22
983550.4,16.52,2.9,250916.31,4.22
983414.19,16.52,2.9,250806.18,4.21
983277.99,16.53,2.9,250760.49,4.21
983542.65,16.53,2.91,251832.24,4.23
983594.58,16.53,2.91,251909.78,4.23
983649.45,16.54,2.92,251721.05,4.23
983870.77,16.54,2.92,251752.83,4.23
983568.74,16.54,2.92,251378.33,4.23
983432.53,16.54,2.92,251579.4,4.23
983161.27,16.54,2.91,251412.38,4.23
983025.06,16.54,2.92,251461.19,4.23
982888.86,16.54,2.92,251281.96,4.23
982752.65,16.54,2.92,251252.11,4.23
982616.45,16.54,2.92,251151.54,4.23
982668.38,16.54,2.92,251274.52,4.23
982668.38,16.54,2.92,251309.87,4.23
982840.19,16.55,2.92,251458.15,4.23
983012.0,16.55,2.93,251538.72,4.23
983012.0,16.55,2.93,251538.72,4.23
983232.28,16.56,2.93,252012.02,4.24
983074.14,16.55,2.93,251853.88,4.24
982924.56,16.55,2.93,251669.96,4.24
982788.35,16.55,2.93,251539.54,4.24
982652.15,16.55,2.93,251539.54,4.24
982704.08,16.56,2.94,251662.52,4.24
982925.4,16.56,2.94,251796.75,4.24
982977.33,16.56,2.94,251919.73,4.25
982841.13,16.56,2.94,251850.7,4.24
982893.06,16.57,2.95,251973.67,4.25
982595.53,16.56,2.94,251828.62,4.25
982595.53,16.56,2.94,251828.78,4.25
982647.46,16.57,2.95,251899.91,4.25
982647.46,16.57,2.95,251885.7,4.25
982868.78,16.57,2.95,251886.2,4.25
983040.6,16.58,2.96,251878.89,4.25
982992.46,16.58,2.96,251830.75,4.25
982994.32,16.58,2.96,251833.36,4.25
982696.79,16.57,2.95,252085.08,4.25
982588.66,16.57,2.95,251996.1,4.25
982588.66,16.57,2.95,251964.96,4.25
982452.45,16.57,2.95,251929.97,4.25
982174.44,16.57,2.95,251741.77,4.25
982226.37,16.57,2.95,251971.34,4.25
982454.43,16.58,2.96,251955.37,4.25
982506.37,16.58,2.96,252233.93,4.26
982508.23,16.58,2.96,252271.9,4.26
982320.21,16.58,2.96,252187.18,4.26
982320.21,16.58,2.96,252187.18,4.26
982184.01,16.58,2.96,252056.76,4.25
981889.74,16.57,2.95,251916.03,4.25
982111.06,16.58,2.96,252279.29,4.26
982162.99,16.58,2.96,252402.27,4.26
982383.27,16.59,2.97,252588.83,4.26
982085.74,16.58,2.96,252285.57,4.26
981949.53,16.58,2.96,252266.24,4.26
981733.89,16.58,2.96,252021.96,4.26
981435.31,16.58,2.96,251723.38,4.25
981299.1,16.58,2.96,251612.3,4.25
981162.9,16.58,2.96,251592.96,4.25
981026.69,16.58,2.96,251481.88,4.25
