ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6d06-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6d06-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6d06-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6d06-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6d06-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
330,814,623260,6212,628620
330,814,623580,6212,628940
331,816,624580,6212,629940
331,816,625040,6212,630400
332,818,626040,6212,631400
332,818,626850,6212,632210
333,820,627850,6212,633210
334,828,628850,6212,634210
334,828,629850,6212,635210
334,828,629850,6212,635210
335,830,630660,6212,636020
335,830,631660,6212,637020
335,830,631660,6212,637020
336,832,632660,6212,638020
336,832,633470,6212,638830
337,834,634470,6212,639830
337,834,635470,6212,640830
338,836,636470,6212,641830
338,836,637280,6212,642640
339,838,638090,6212,643450
339,838,638310,6212,643670
339,838,639310,6212,644670
339,838,639770,6212,645130
340,840,640580,6212,645940
340,840,641580,6212,646940
341,842,642580,6212,647940
341,842,643580,6212,648940
342,844,644580,6212,649940
342,844,645580,6212,650940
343,846,646580,6212,651940
343,846,646580,6212,651940
343,846,646580,6212,651940
343,846,647580,6212,652940
344,848,648580,6212,653940
344,848,649580,6212,654940
345,850,650580,6212,655940
345,850,651580,6212,656940
345,850,651580,6212,656940
345,850,651580,6212,656940
346,852,652580,6212,657940
346,852,653390,6212,658750
347,854,654390,6212,659750
347,854,655200,6212,660560
347,854,655200,6212,660560
348,856,656200,6212,661560
348,856,657200,6212,662560
