ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b76-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b76-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b76-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b76-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b76-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
213,578,502410,6212,502410
213,578,503410,6212,503410
214,580,504410,6212,504410
214,580,504880,6212,504880
214,580,505350,6212,505350
215,582,505820,6212,505820
215,582,506820,6212,506820
216,584,507630,6212,507630
216,584,508630,6212,508630
217,586,509630,6212,509630
217,586,509950,6212,509950
217,586,510760,6212,510760
217,586,511080,6212,511080
218,588,511550,6212,511550
218,588,512360,6212,512360
218,588,512830,6212,512830
219,596,513830,6212,513830
219,596,514300,6212,514300
219,596,514300,6212,514300
219,596,514620,6212,514620
219,596,515620,6212,515620
219,596,516620,6212,516620
219,596,517430,6212,517430
219,596,518430,6212,518430
219,596,518900,6212,518900
219,596,519220,6212,519220
219,596,519690,6212,519690
219,596,520500,6212,520500
219,596,520970,6212,520970
220,598,521970,6212,521970
221,606,522970,6212,522970
221,606,523970,6212,523970
221,606,523970,6212,523970
221,606,524620,6212,524620
221,606,525620,6212,525620
221,606,526430,6212,526430
221,606,526430,6212,526430
221,606,527240,6212,527240
221,606,528240,6212,528240
221,606,529240,6212,529240
221,606,529710,6212,529710
221,606,529710,6212,529710
221,606,529710,6212,529710
222,614,530710,6212,530710
222,614,531710,6212,531710
223,616,532710,6212,532710
223,616,533710,6212,533710
223,616,534710,6212,534710
223,616,535030,6212,535030
223,616,536030,6212,536030
223,616,537030,6212,537030
223,616,537030,6212,537030
223,616,537030,6212,537030
223,616,538030,6212,538030
223,616,539030,6212,539030
223,616,539500,6212,539500
224,624,540500,6212,540500
224,624,540500,6212,540500
224,624,541150,6212,541150
224,624,542150,6212,542150
225,626,542620,6212,542620
225,626,542620,6212,542620
225,626,542730,6212,542730
225,626,543200,6212,543200
225,626,544200,6212,544200
225,626,544200,6212,544200
225,626,545200,6212,545200
225,626,546200,6212,546200
226,628,547200,6212,547200
226,628,548200,6212,548200
226,628,549200,6212,549200
227,630,550200,6212,550200
227,630,551200,6212,551200
227,630,551430,6212,551430
228,632,552430,6212,552430
228,632,553430,6212,553430
229,634,554240,6212,554240
230,638,555240,6212,555240
230,638,556240,6212,556240
230,638,556700,6212,556700
230,638,557700,6212,557700
231,640,558160,6212,558160
231,640,559160,6212,559160
232,642,559970,6212,559970
232,642,559970,6212,559970
232,642,560970,6212,560970
232,642,561970,6212,561970
232,642,562970,6212,562970
233,644,563780,6212,563780
233,644,564370,6212,564370
233,644,564840,6212,564840
234,646,565840,6212,565840
235,654,569840,6212,569840
235,654,569840,6212,569840
235,654,570310,6212,570310
235,654,570310,6212,570310
235,654,570630,6212,570630
235,654,571440,6212,571440
235,654,572440,6212,572440
235,654,573440,6212,573440
235,654,573440,6212,573440
236,656,574440,6212,574440
236,656,574670,6212,574670
237,664,575670,6212,575670
237,664,576670,6212,576670
237,664,577670,6212,577670
237,664,577670,6212,577670
238,666,578670,6212,578670
238,666,579140,6212,579140
238,666,579790,6212,579790
238,666,580790,6212,580790
239,670,581790,6212,581790
239,670,581790,6212,581790
239,670,582790,6212,582790
239,670,583260,6212,583260
239,670,583580,6212,583580
239,670,584390,6212,584390
239,670,585200,6212,585200
239,670,585670,6212,585670
240,672,586670,6212,586670
240,672,586670,6212,586670
240,672,587670,6212,587670
240,672,588670,6212,588670
240,672,589670,6212,589670
241,674,590670,6212,590670
241,674,590890,6212,590890
241,674,591890,6212,591890
242,682,592890,6212,592890
242,682,593890,6212,593890
242,682,594700,6212,594700
242,682,594700,6212,594700
242,682,595160,6212,595160
243,684,595380,6212,595380
243,684,596380,6212,596380
243,684,597380,6212,597380
243,684,597850,6212,597850
243,684,598850,6212,598850
243,684,599850,6212,599850
243,684,600850,6212,600850
244,692,608850,6212,608850
244,692,609170,6212,609170
245,694,609720,6212,609720
245,694,610720,6212,610720
245,694,610720,6212,610720
246,696,611720,6212,611720
246,696,612530,6212,612530
247,698,613000,6212,613000
247,698,613810,6212,613810
248,700,614810,6212,614810
248,700,615030,6212,615030
248,700,616030,6212,616030
249,702,616500,6212,616500
249,702,617310,6212,617310
250,704,618310,6212,618310
251,706,619120,6212,619120
251,706,619440,6212,619440
251,706,619440,6212,619440
251,706,620250,6212,620250
251,706,621060,6212,621060
251,706,621060,6212,621060
251,706,621060,6212,621060
252,708,621870,6212,621870
252,708,622870,6212,622870
253,710,623680,6212,623680
253,710,624000,6212,624000
253,710,624810,6212,624810
254,712,625810,6212,625810
254,712,626620,6212,626620
255,714,627620,6212,627620
255,714,628620,6212,628620
255,714,628940,6212,628940
256,716,629940,6212,629940
256,716,630400,6212,630400
257,718,631400,6212,631400
257,718,632210,6212,632210
258,720,633210,6212,633210
258,720,634210,6212,634210
259,722,635210,6212,635210
259,722,635210,6212,635210
