ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
82,356,312160,6212,312160
82,356,313160,6212,313160
82,356,313810,6212,313810
82,356,314620,6212,314620
82,356,315090,6212,315090
82,356,315900,6212,315900
82,356,316370,6212,316370
82,356,317370,6212,317370
82,356,318370,6212,318370
83,358,319180,6212,319180
83,358,320180,6212,320180
84,366,321180,6212,321180
84,366,322180,6212,322180
84,366,322730,6212,322730
84,366,322730,6212,322730
84,366,323730,6212,323730
84,366,324200,6212,324200
84,366,324520,6212,324520
84,366,325520,6212,325520
84,366,326520,6212,326520
84,366,327520,6212,327520
84,366,327520,6212,327520
84,366,327890,6212,327890
84,366,328890,6212,328890
85,368,329890,6212,329890
85,368,329890,6212,329890
85,368,330890,6212,330890
85,368,330890,6212,330890
86,376,331700,6212,331700
86,376,332290,6212,332290
86,376,333100,6212,333100
86,376,333910,6212,333910
86,376,334910,6212,334910
86,376,335230,6212,335230
86,376,336230,6212,336230
86,376,336230,6212,336230
86,376,336230,6212,336230
86,376,337230,6212,337230
86,376,338230,6212,338230
87,384,339230,6212,339230
87,384,339550,6212,339550
87,384,340100,6212,340100
87,384,341100,6212,341100
87,384,342100,6212,342100
87,384,343100,6212,343100
87,384,343910,6212,343910
87,384,344720,6212,344720
87,384,344720,6212,344720
87,384,345190,6212,345190
88,392,346190,6212,346190
88,392,346510,6212,346510
88,392,347510,6212,347510
88,392,347980,6212,347980
88,392,348790,6212,348790
88,392,349790,6212,349790
88,392,350600,6212,350600
88,392,351600,6212,351600
88,392,352410,6212,352410
88,392,352730,6212,352730
88,392,352960,6212,352960
88,392,353610,6212,353610
89,400,354610,6212,354610
89,400,355420,6212,355420
89,400,355420,6212,355420
89,400,356420,6212,356420
89,400,357420,6212,357420
89,400,358420,6212,358420
89,400,358580,6212,358580
89,400,359230,6212,359230
89,400,359230,6212,359230
89,400,360040,6212,360040
89,400,360630,6212,360630
90,402,361630,6212,361630
90,402,362440,6212,362440
91,404,362910,6212,362910
91,404,363910,6212,363910
92,406,364910,6212,364910
92,406,365910,6212,365910
92,406,366380,6212,366380
93,414,367380,6212,367380
93,414,367850,6212,367850
93,414,368850,6212,368850
93,414,369170,6212,369170
93,414,369170,6212,369170
93,414,370170,6212,370170
93,414,370170,6212,370170
93,414,370170,6212,370170
93,414,371170,6212,371170
93,414,372170,6212,372170
93,414,373170,6212,373170
93,414,373170,6212,373170
93,414,373980,6212,373980
93,414,374450,6212,374450
94,416,375450,6212,375450
94,416,376450,6212,376450
95,420,377450,6212,377450
96,422,378450,6212,378450
96,422,378770,6212,378770
96,422,378770,6212,378770
97,424,379770,6212,379770
97,424,380580,6212,380580
97,424,381580,6212,381580
98,432,381810,6212,381810
98,432,382810,6212,382810
98,432,383620,6212,383620
98,432,383850,6212,383850
98,432,384850,6212,384850
98,432,385400,6212,385400
98,432,386400,6212,386400
98,432,386630,6212,386630
98,432,387630,6212,387630
98,432,387630,6212,387630
98,432,387860,6212,387860
99,434,388860,6212,388860
100,436,389670,6212,389670
100,436,389670,6212,389670
100,436,390480,6212,390480
100,436,391480,6212,391480
100,436,392290,6212,392290
100,436,393290,6212,393290
101,444,394290,6212,394290
101,444,395290,6212,395290
101,444,395290,6212,395290
