ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_228c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_228c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_228c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_228c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_228c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
217,490,437710,6212,437710
218,492,438710,6212,438710
218,492,439710,6212,439710
218,492,439710,6212,439710
218,492,440520,6212,440520
218,492,440750,6212,440750
219,494,441340,6212,441340
220,496,442340,6212,442340
220,496,443340,6212,443340
220,496,443810,6212,443810
221,498,444810,6212,444810
221,498,444810,6212,444810
221,498,445280,6212,445280
221,498,446280,6212,446280
222,500,447280,6212,447280
223,502,448090,6212,448090
223,502,448560,6212,448560
223,502,449370,6212,449370
224,504,449840,6212,449840
224,504,450840,6212,450840
224,504,451160,6212,451160
224,504,451160,6212,451160
224,504,451970,6212,451970
225,506,452970,6212,452970
225,506,453970,6212,453970
225,506,453970,6212,453970
226,508,454520,6212,454520
226,508,455330,6212,455330
226,508,456330,6212,456330
227,510,457330,6212,457330
227,510,458330,6212,458330
228,512,459330,6212,459330
228,512,460330,6212,460330
229,514,461140,6212,461140
229,514,461950,6212,461950
230,516,462950,6212,462950
230,516,463950,6212,463950
231,518,464950,6212,464950
231,518,465950,6212,465950
232,520,466760,6212,466760
232,520,467230,6212,467230
233,522,468230,6212,468230
233,522,469230,6212,469230
233,522,469230,6212,469230
233,522,469230,6212,469230
233,522,470040,6212,470040
233,522,470150,6212,470150
234,524,470960,6212,470960
235,526,471960,6212,471960
235,526,472770,6212,472770
236,528,473770,6212,473770
237,530,474580,6212,474580
237,530,475390,6212,475390
237,530,475710,6212,475710
237,530,476710,6212,476710
238,532,477710,6212,477710
239,534,478520,6212,478520
239,534,479070,6212,479070
239,534,479070,6212,479070
239,534,480070,6212,480070
239,534,481070,6212,481070
240,536,482070,6212,482070
241,538,484070,6212,484070
241,538,484070,6212,484070
242,540,484530,6212,484530
242,540,485530,6212,485530
242,540,485530,6212,485530
243,542,486530,6212,486530
243,542,487530,6212,487530
243,542,487530,6212,487530
244,544,488530,6212,488530
244,544,488530,6212,488530
244,544,488850,6212,488850
244,544,489850,6212,489850
244,544,489850,6212,489850
245,546,490850,6212,490850
246,554,498850,6212,498850
246,554,499850,6212,499850
