ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f7e7-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f7e7-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f7e7-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f7e7-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f7e7-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
168,436,353340,6212,353340
168,436,353340,6212,353340
168,436,354340,6212,354340
168,436,355340,6212,355340
169,438,356150,6212,356150
169,438,357150,6212,357150
169,438,357150,6212,357150
169,438,358150,6212,358150
170,440,359150,6212,359150
170,440,360150,6212,360150
171,442,360620,6212,360620
171,442,361620,6212,361620
172,444,362620,6212,362620
172,444,363430,6212,363430
172,444,364240,6212,364240
173,446,365240,6212,365240
173,446,365240,6212,365240
173,446,365240,6212,365240
173,446,366240,6212,366240
173,446,366470,6212,366470
174,448,367470,6212,367470
174,448,368470,6212,368470
175,450,369280,6212,369280
175,450,369930,6212,369930
175,450,369930,6212,369930
176,452,370930,6212,370930
176,452,371930,6212,371930
177,454,372390,6212,372390
177,454,373200,6212,373200
178,462,374200,6212,374200
178,462,375200,6212,375200
179,464,376200,6212,376200
179,464,377200,6212,377200
179,464,378010,6212,378010
179,464,378010,6212,378010
180,466,379010,6212,379010
180,466,380010,6212,380010
180,466,381010,6212,381010
180,466,381480,6212,381480
180,466,382480,6212,382480
180,466,383480,6212,383480
180,466,383480,6212,383480
180,466,384480,6212,384480
181,468,385290,6212,385290
181,468,385520,6212,385520
181,468,386520,6212,386520
182,470,387520,6212,387520
182,470,388520,6212,388520
183,472,389520,6212,389520
183,472,389990,6212,389990
184,474,390990,6212,390990
184,474,391990,6212,391990
185,476,392990,6212,392990
185,476,393990,6212,393990
186,478,394800,6212,394800
186,478,395800,6212,395800
187,480,396800,6212,396800
187,480,397800,6212,397800
187,480,398030,6212,398030
187,480,398030,6212,398030
188,482,399030,6212,399030
188,482,399840,6212,399840
189,484,400840,6212,400840
189,484,401840,6212,401840
190,486,402160,6212,402160
190,486,403160,6212,403160
190,486,403160,6212,403160
191,488,404160,6212,404160
191,488,404970,6212,404970
192,490,405520,6212,405520
192,490,405520,6212,405520
192,490,405680,6212,405680
192,490,406000,6212,406000
192,490,406810,6212,406810
192,490,407280,6212,407280
193,492,408280,6212,408280
193,492,409090,6212,409090
194,494,409560,6212,409560
195,496,410020,6212,410020
195,496,411020,6212,411020
196,498,412020,6212,412020
196,498,413020,6212,413020
196,498,413240,6212,413240
196,498,413240,6212,413240
197,502,414240,6212,414240
198,510,422240,6212,422240
198,510,423240,6212,423240
198,510,424050,6212,424050
198,510,424050,6212,424050
198,510,425050,6212,425050
199,512,426050,6212,426050
199,512,426270,6212,426270
199,512,426920,6212,426920
200,514,427920,6212,427920
201,522,428920,6212,428920
201,522,429920,6212,429920
201,522,430570,6212,430570
201,522,431380,6212,431380
201,522,432380,6212,432380
201,522,433030,6212,433030
201,522,433500,6212,433500
201,522,433500,6212,433500
201,522,434310,6212,434310
201,522,434780,6212,434780
201,522,435250,6212,435250
202,524,435720,6212,435720
202,524,436190,6212,436190
202,524,437000,6212,437000
203,526,438000,6212,438000
203,526,438320,6212,438320
203,526,439320,6212,439320
204,528,440130,6212,440130
204,528,440600,6212,440600
204,528,441600,6212,441600
204,528,441920,6212,441920
205,530,442730,6212,442730
205,530,442890,6212,442890
205,530,443890,6212,443890
206,532,444540,6212,444540
206,532,444540,6212,444540
206,532,445540,6212,445540
207,534,446010,6212,446010
207,534,447010,6212,447010
207,534,447330,6212,447330
208,536,448330,6212,448330
208,536,449330,6212,449330
209,538,449700,6212,449700
210,540,450700,6212,450700
211,548,451700,6212,451700
211,548,452700,6212,452700
211,548,453700,6212,453700
211,548,454700,6212,454700
211,548,455700,6212,455700
211,548,456700,6212,456700
211,548,456700,6212,456700
211,548,456700,6212,456700
211,548,456930,6212,456930
211,548,457930,6212,457930
211,548,457930,6212,457930
211,548,458250,6212,458250
211,548,458720,6212,458720
212,550,459720,6212,459720
212,550,460720,6212,460720
212,550,461720,6212,461720
212,550,462530,6212,462530
212,550,463340,6212,463340
213,552,463820,6212,463820
214,556,464820,6212,464820
215,560,465820,6212,465820
215,560,466820,6212,466820
215,560,466820,6212,466820
215,560,467820,6212,467820
216,562,468820,6212,468820
216,562,469630,6212,469630
216,562,470630,6212,470630
216,562,471100,6212,471100
217,564,472100,6212,472100
217,564,472910,6212,472910
217,564,473720,6212,473720
217,564,474720,6212,474720
217,564,475720,6212,475720
217,564,476720,6212,476720
218,566,477530,6212,477530
218,566,477760,6212,477760
218,566,478760,6212,478760
218,566,478760,6212,478760
218,566,479760,6212,479760
219,568,479980,6212,479980
220,570,480450,6212,480450
220,570,481260,6212,481260
221,574,482260,6212,482260
222,582,483260,6212,483260
223,590,484260,6212,484260
223,590,485070,6212,485070
223,590,485660,6212,485660
223,590,486660,6212,486660
224,598,494660,6212,494660
224,598,495210,6212,495210
224,598,496020,6212,496020
224,598,496020,6212,496020
224,598,497020,6212,497020
225,600,498020,6212,498020
225,600,498020,6212,498020
225,600,499020,6212,499020
225,600,500020,6212,500020
225,600,500250,6212,500250
225,600,501250,6212,501250
225,600,501410,6212,501410
225,600,502410,6212,502410
225,600,503410,6212,503410
225,600,504410,6212,504410
225,600,504880,6212,504880
225,600,505350,6212,505350
226,602,505820,6212,505820
226,602,506820,6212,506820
226,602,507630,6212,507630
226,602,508630,6212,508630
227,610,509630,6212,509630
228,612,509950,6212,509950
229,614,510760,6212,510760
229,614,511080,6212,511080
229,614,511550,6212,511550
229,614,512360,6212,512360
229,614,512830,6212,512830
229,614,513830,6212,513830
229,614,514300,6212,514300
229,614,514300,6212,514300
229,614,514620,6212,514620
229,614,515620,6212,515620
229,614,516620,6212,516620
229,614,517430,6212,517430
229,614,518430,6212,518430
230,616,518900,6212,518900
230,616,519220,6212,519220
230,616,519690,6212,519690
230,616,520500,6212,520500
230,616,520970,6212,520970
230,616,521970,6212,521970
230,616,522970,6212,522970
230,616,523970,6212,523970
230,616,523970,6212,523970
231,618,524620,6212,524620
232,626,525620,6212,525620
232,626,526430,6212,526430
232,626,526430,6212,526430
232,626,527240,6212,527240
232,626,528240,6212,528240
232,626,529240,6212,529240
232,626,529710,6212,529710
232,626,529710,6212,529710
232,626,529710,6212,529710
233,630,530710,6212,530710
233,630,531710,6212,531710
233,630,532710,6212,532710
233,630,533710,6212,533710
233,630,534710,6212,534710
233,630,535030,6212,535030
233,630,536030,6212,536030
234,632,537030,6212,537030
234,632,537030,6212,537030
234,632,537030,6212,537030
235,636,538030,6212,538030
235,636,539030,6212,539030
235,636,539500,6212,539500
235,636,540500,6212,540500
235,636,540500,6212,540500
236,638,541150,6212,541150
237,640,542150,6212,542150
237,640,542620,6212,542620
237,640,542620,6212,542620
237,640,542730,6212,542730
237,640,543200,6212,543200
238,642,544200,6212,544200
238,642,544200,6212,544200
239,644,545200,6212,545200
239,644,546200,6212,546200
240,646,547200,6212,547200
240,646,548200,6212,548200
240,646,549200,6212,549200
241,648,550200,6212,550200
242,656,551200,6212,551200
242,656,551430,6212,551430
242,656,552430,6212,552430
242,656,553430,6212,553430
242,656,554240,6212,554240
242,656,555240,6212,555240
242,656,556240,6212,556240
242,656,556700,6212,556700
242,656,557700,6212,557700
242,656,558160,6212,558160
242,656,559160,6212,559160
243,658,559970,6212,559970
243,658,559970,6212,559970
243,658,560970,6212,560970
243,658,561970,6212,561970
243,658,562970,6212,562970
243,658,563780,6212,563780
243,658,564370,6212,564370
244,660,564840,6212,564840
245,662,565840,6212,565840
246,670,569840,6212,569840
246,670,569840,6212,569840
246,670,570310,6212,570310
246,670,570310,6212,570310
246,670,570630,6212,570630
246,670,571440,6212,571440
247,672,572440,6212,572440
247,672,573440,6212,573440
247,672,573440,6212,573440
247,672,574440,6212,574440
247,672,574670,6212,574670
248,674,575670,6212,575670
248,674,576670,6212,576670
249,676,577670,6212,577670
249,676,577670,6212,577670
250,678,578670,6212,578670
250,678,579140,6212,579140
251,680,579790,6212,579790
251,680,580790,6212,580790
252,688,581790,6212,581790
252,688,581790,6212,581790
252,688,582790,6212,582790
252,688,583260,6212,583260
252,688,583580,6212,583580
253,690,584390,6212,584390
253,690,585200,6212,585200
254,692,585670,6212,585670
254,692,586670,6212,586670
254,692,586670,6212,586670
255,696,587670,6212,587670
255,696,588670,6212,588670
255,696,589670,6212,589670
256,698,590670,6212,590670
256,698,590890,6212,590890
256,698,591890,6212,591890
256,698,592890,6212,592890
256,698,593890,6212,593890
256,698,594700,6212,594700
256,698,594700,6212,594700
256,698,595160,6212,595160
256,698,595380,6212,595380
256,698,596380,6212,596380
256,698,597380,6212,597380
256,698,597850,6212,597850
256,698,598850,6212,598850
256,698,599850,6212,599850
257,700,600850,6212,600850
258,708,608850,6212,608850
258,708,609170,6212,609170
259,710,609720,6212,609720
259,710,610720,6212,610720
259,710,610720,6212,610720
260,712,611720,6212,611720
260,712,612530,6212,612530
260,712,613000,6212,613000
261,714,613810,6212,613810
261,714,614810,6212,614810
261,714,615030,6212,615030
262,716,616030,6212,616030
262,716,616500,6212,616500
262,716,617310,6212,617310
263,718,618310,6212,618310
263,718,619120,6212,619120
264,720,619440,6212,619440
264,720,619440,6212,619440
264,720,620250,6212,620250
265,722,621060,6212,621060
265,722,621060,6212,621060
265,722,621060,6212,621060
265,722,621870,6212,621870
266,730,622870,6212,622870
267,732,623680,6212,623680
267,732,624000,6212,624000
