ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
334,946,874630,6212,874630
334,946,874790,6212,874790
334,946,875250,6212,875250
334,946,876250,6212,876250
334,946,876570,6212,876570
335,948,877570,6212,877570
335,948,878570,6212,878570
336,950,879570,6212,879570
337,952,881570,6212,881570
337,952,882570,6212,882570
338,954,883570,6212,883570
338,954,883890,6212,883890
338,954,884890,6212,884890
339,962,892890,6212,892890
340,970,900890,6212,900890
341,972,901700,6212,901700
341,972,902700,6212,902700
341,972,902920,6212,902920
341,972,903080,6212,903080
342,974,903890,6212,903890
342,974,904890,6212,904890
342,974,905110,6212,905110
342,974,905270,6212,905270
343,976,906270,6212,906270
343,976,907270,6212,907270
344,978,908270,6212,908270
344,978,909270,6212,909270
345,980,910270,6212,910270
345,980,911270,6212,911270
346,982,912270,6212,912270
346,982,913270,6212,913270
347,984,913590,6212,913590
347,984,914590,6212,914590
348,986,915400,6212,915400
348,986,915400,6212,915400
348,986,915870,6212,915870
348,986,916680,6212,916680
349,990,917680,6212,917680
350,994,918680,6212,918680
350,994,918680,6212,918680
351,996,919680,6212,919680
351,996,920680,6212,920680
352,998,921680,6212,921680
352,998,922490,6212,922490
353,1000,923490,6212,923490
353,1000,923720,6212,923720
354,1002,924720,6212,924720
354,1002,925720,6212,925720
355,1010,933720,6212,933720
355,1010,933720,6212,933720
355,1010,934190,6212,934190
356,1012,935190,6212,935190
356,1012,935420,6212,935420
356,1012,936420,6212,936420
357,1014,936790,6212,936790
