ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b4a5-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b4a5-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b4a5-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b4a5-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b4a5-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
1678250.74,28.08,2.51,231683.21,3.88
1677995.0,28.08,2.51,231639.44,3.88
1677928.11,28.09,2.51,231818.57,3.88
1677221.71,28.08,2.5,231085.51,3.87
1676766.51,28.08,2.5,230427.32,3.86
1676510.77,28.08,2.5,230383.55,3.86
1676700.22,28.08,2.51,230804.27,3.87
1676188.75,28.08,2.51,230760.5,3.87
1676188.75,28.08,2.51,230760.5,3.87
1676188.75,28.08,2.51,230760.5,3.87
1675738.81,28.08,2.5,230102.3,3.86
1675353.62,28.07,2.5,229741.58,3.85
1675244.77,28.07,2.5,229642.55,3.85
1674989.03,28.07,2.5,229598.78,3.85
1674922.15,28.08,2.5,229777.81,3.85
1674666.41,28.08,2.5,229734.04,3.85
1674666.41,28.08,2.5,229734.04,3.85
1674666.41,28.08,2.5,229734.04,3.85
1674453.73,28.07,2.5,229521.37,3.85
1674527.59,28.08,2.5,229834.96,3.85
1674271.85,28.08,2.5,229791.19,3.85
1674204.97,28.08,2.51,229970.23,3.86
1674394.42,28.09,2.51,230042.58,3.86
1674394.42,28.09,2.51,230042.58,3.86
1674138.68,28.09,2.51,230347.05,3.86
1674138.68,28.09,2.51,230347.05,3.86
1674138.68,28.09,2.51,230347.05,3.86
1673882.94,28.09,2.51,230303.28,3.86
1673882.94,28.09,2.51,230303.28,3.86
1673882.94,28.09,2.51,230303.28,3.86
1673627.21,28.09,2.51,230303.28,3.87
1672899.22,28.08,2.51,229486.22,3.85
1672599.61,28.08,2.5,229202.62,3.85
1672144.42,28.07,2.5,228544.43,3.84
1671888.68,28.07,2.5,228558.02,3.84
1671632.94,28.07,2.5,228500.66,3.84
1671377.2,28.07,2.5,228456.89,3.84
1671121.46,28.07,2.5,228456.89,3.84
1670865.72,28.07,2.5,228464.81,3.84
1670865.72,28.07,2.5,228464.81,3.84
1670865.72,28.07,2.5,228464.81,3.84
1670480.53,28.07,2.5,228104.22,3.83
1670413.65,28.07,2.5,228192.79,3.84
1670157.91,28.07,2.5,228149.02,3.83
1669902.17,28.07,2.5,228149.02,3.84
1669976.04,28.08,2.5,228170.7,3.84
1669720.3,28.08,2.5,228419.38,3.84
1669720.3,28.08,2.5,228419.38,3.84
1669420.7,28.08,2.5,228135.25,3.84
1669164.96,28.08,2.5,228091.48,3.84
1669164.96,28.08,2.5,228091.48,3.84
1668623.68,28.07,2.5,227550.21,3.83
1668367.94,28.07,2.5,227550.21,3.83
1667639.95,28.06,2.49,226733.15,3.82
1667639.95,28.06,2.49,226733.15,3.82
1667639.95,28.06,2.49,226733.15,3.82
1667639.95,28.06,2.49,226733.15,3.82
1666994.75,28.06,2.48,225884.96,3.8
1666994.75,28.06,2.48,225884.96,3.8
1666267.27,28.05,2.47,225067.9,3.79
1664221.36,28.05,2.48,225001.96,3.79
1664410.81,28.06,2.48,225074.31,3.79
1664155.07,28.06,2.48,225378.84,3.8
1663899.33,28.06,2.48,225392.44,3.8
1663514.14,28.05,2.48,225031.78,3.79
1663514.14,28.05,2.48,225031.78,3.79
1663258.4,28.05,2.48,224974.42,3.79
1663002.66,28.05,2.48,224930.65,3.79
1662746.93,28.06,2.48,224930.65,3.8
1662235.45,28.06,2.48,224886.88,3.8
1661780.25,28.05,2.48,224228.69,3.79
1661524.51,28.05,2.48,224236.61,3.79
1661268.77,28.05,2.48,224184.92,3.79
1660813.58,28.05,2.48,223526.73,3.78
1660813.58,28.05,2.48,225293.21,3.8
1660557.84,28.05,2.48,225249.44,3.8
1660302.1,28.05,2.48,225249.44,3.81
1666256.19,28.15,2.58,231125.45,3.9
1666000.45,28.15,2.58,231139.04,3.91
1665933.57,28.15,2.58,231221.95,3.91
1665933.57,28.15,2.58,231221.95,3.91
1665933.57,28.15,2.58,231221.95,3.91
1666007.43,28.16,2.58,231243.62,3.91
1665940.55,28.16,2.59,231548.61,3.91
1665873.67,28.16,2.59,231728.24,3.92
1666063.12,28.17,2.6,232011.37,3.92
1665807.38,28.17,2.6,231967.6,3.92
1665807.38,28.17,2.6,233734.08,3.95
