ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_ratio,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_q124,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_ratio
1744637.55,29.67,1.03,224648.87,3.82
1744420.51,29.67,1.03,224643.57,3.82
1743868.41,29.66,1.02,224148.09,3.81
1743840.88,29.67,1.02,224244.22,3.81
1743625.39,29.67,1.02,224292.82,3.82
1743408.35,29.67,1.02,224175.41,3.82
1743192.85,29.67,1.02,224180.67,3.82
1743163.77,29.67,1.03,224338.63,3.82
1743136.24,29.68,1.03,224434.76,3.82
1742868.07,29.68,1.03,224430.81,3.82
1742496.13,29.67,1.03,224193.44,3.82
1742279.09,29.68,1.03,224119.38,3.82
1742279.09,29.68,1.03,224119.38,3.82
1742279.09,29.68,1.03,224146.52,3.82
1741692.13,29.67,1.02,223221.33,3.8
1741692.13,29.67,1.02,223221.33,3.8
1741476.64,29.67,1.02,223213.97,3.8
1741476.64,29.67,1.02,223213.97,3.8
1741447.56,29.68,1.02,223371.92,3.81
1741162.47,29.68,1.02,223423.52,3.81
1741539.02,29.68,1.03,223364.08,3.81
1741933.59,29.7,1.04,223558.78,3.81
1741904.51,29.7,1.05,224330.34,3.82
1741876.98,29.7,1.05,224426.46,3.83
1741876.98,29.7,1.05,224426.46,3.83
1741659.94,29.7,1.05,224365.02,3.83
1741455.2,29.7,1.05,224146.57,3.82
1741239.71,29.7,1.05,224083.3,3.82
1741022.66,29.71,1.05,224077.76,3.82
1741022.66,29.71,1.05,224077.76,3.82
1740703.85,29.7,1.04,223758.95,3.82
1740405.72,29.7,1.04,223733.34,3.82
1740107.59,29.7,1.04,223794.52,3.82
1740107.59,29.7,1.04,223794.52,3.82
1739892.1,29.7,1.04,223787.16,3.82
1739675.06,29.7,1.04,223725.72,3.82
1739645.98,29.71,1.05,223883.67,3.82
1739301.63,29.71,1.05,223744.36,3.82
1739301.63,29.71,1.05,223744.36,3.82
1739003.5,29.71,1.05,223693.89,3.82
1738707.69,29.71,1.05,223673.73,3.82
1738492.2,29.71,1.05,223610.67,3.82
1738708.64,29.71,1.05,223681.63,3.82
1738491.6,29.72,1.05,223675.89,3.82
1738192.7,29.72,1.05,223999.72,3.83
1738163.62,29.72,1.05,224338.71,3.84
1738057.73,29.72,1.06,223902.32,3.83
1737798.08,29.72,1.06,223702.26,3.83
1737798.47,29.72,1.06,223703.26,3.83
1737798.47,29.72,1.06,223703.26,3.83
1737460.32,29.72,1.06,223565.93,3.82
