ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
241,614,512830,6212,512830
241,614,513830,6212,513830
242,616,514300,6212,514300
242,616,514300,6212,514300
242,616,514620,6212,514620
242,616,515620,6212,515620
242,616,516620,6212,516620
242,616,517430,6212,517430
242,616,518430,6212,518430
242,616,518900,6212,518900
243,618,519220,6212,519220
243,618,519690,6212,519690
243,618,520500,6212,520500
244,620,520970,6212,520970
244,620,521970,6212,521970
245,628,522970,6212,522970
246,630,523970,6212,523970
246,630,523970,6212,523970
246,630,524620,6212,524620
246,630,525620,6212,525620
247,632,526430,6212,526430
247,632,526430,6212,526430
247,632,527240,6212,527240
247,632,528240,6212,528240
247,632,529240,6212,529240
247,632,529710,6212,529710
247,632,529710,6212,529710
248,640,529710,6212,529710
248,640,530710,6212,530710
249,642,531710,6212,531710
250,644,532710,6212,532710
250,644,533710,6212,533710
251,646,534710,6212,534710
251,646,535030,6212,535030
251,646,536030,6212,536030
252,648,537030,6212,537030
252,648,537030,6212,537030
252,648,537030,6212,537030
252,648,538030,6212,538030
253,650,539030,6212,539030
254,652,539500,6212,539500
254,652,540500,6212,540500
254,652,540500,6212,540500
254,652,541150,6212,541150
254,652,542150,6212,542150
254,652,542620,6212,542620
254,652,542620,6212,542620
254,652,542730,6212,542730
255,654,543200,6212,543200
256,656,544200,6212,544200
256,656,544200,6212,544200
257,658,545200,6212,545200
