ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
222,520,448260,6212,448260
223,522,449070,6212,449070
223,522,449540,6212,449540
223,522,450540,6212,450540
224,524,451540,6212,451540
224,524,452540,6212,452540
225,526,453540,6212,453540
225,526,454540,6212,454540
226,528,455540,6212,455540
226,528,455540,6212,455540
226,528,456000,6212,456000
227,530,457000,6212,457000
227,530,457810,6212,457810
228,532,458810,6212,458810
228,532,459810,6212,459810
229,534,460810,6212,460810
229,534,461810,6212,461810
230,536,462810,6212,462810
230,536,463810,6212,463810
230,536,464280,6212,464280
231,538,465280,6212,465280
231,538,465750,6212,465750
232,540,466750,6212,466750
232,540,467750,6212,467750
232,540,468070,6212,468070
233,542,469070,6212,469070
233,542,470070,6212,470070
233,542,470070,6212,470070
234,544,470720,6212,470720
234,544,471530,6212,471530
234,544,471530,6212,471530
235,548,475530,6212,475530
236,550,476530,6212,476530
236,550,476530,6212,476530
236,550,476760,6212,476760
236,550,477080,6212,477080
237,552,478080,6212,478080
237,552,479080,6212,479080
237,552,479730,6212,479730
238,554,480730,6212,480730
238,554,481200,6212,481200
239,556,482200,6212,482200
239,556,482200,6212,482200
239,556,483200,6212,483200
239,556,483670,6212,483670
240,558,484670,6212,484670
240,558,485670,6212,485670
241,560,486260,6212,486260
241,560,487070,6212,487070
242,562,488070,6212,488070
242,562,488390,6212,488390
242,562,489390,6212,489390
243,570,497390,6212,497390
244,572,498390,6212,498390
244,572,499390,6212,499390
245,574,499860,6212,499860
245,574,500860,6212,500860
246,576,501860,6212,501860
246,576,502860,6212,502860
246,576,503330,6212,503330
247,578,503800,6212,503800
248,580,504270,6212,504270
248,580,505080,6212,505080
248,580,505080,6212,505080
248,580,506080,6212,506080
