ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5a66-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5a66-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_ratio,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5a66-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_q124,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5a66-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5a66-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_ratio
866071.64,14.54,0.95,197792.6,3.32
866255.35,14.55,0.95,197877.23,3.32
866119.39,14.55,0.95,198003.48,3.33
865919.72,14.55,0.95,197884.86,3.32
865577.3,14.54,0.94,197678.12,3.32
872489.62,14.66,1.06,205631.66,3.45
872489.62,14.66,1.06,205631.47,3.45
872289.95,14.65,1.06,205437.69,3.45
872341.64,14.66,1.06,205560.79,3.45
872341.64,14.66,1.06,205560.79,3.45
872618.1,14.66,1.07,205793.06,3.46
872275.68,14.66,1.06,205586.32,3.45
872327.37,14.66,1.07,205476.94,3.45
872191.41,14.66,1.07,205661.2,3.46
872055.45,14.66,1.07,205661.46,3.46
871863.26,14.66,1.06,205439.34,3.45
872046.98,14.66,1.07,205608.26,3.46
872046.98,14.66,1.07,205657.09,3.46
872230.69,14.67,1.07,205741.72,3.46
872094.73,14.67,1.07,205867.97,3.46
872094.73,14.67,1.07,206512.94,3.47
871958.77,14.67,1.07,206513.2,3.47
871822.81,14.67,1.07,206410.03,3.47
871874.5,14.67,1.08,206528.32,3.48
871926.19,14.67,1.08,206624.29,3.48
872195.02,14.68,1.08,206698.77,3.48
871850.23,14.68,1.08,206521.38,3.48
871901.92,14.68,1.08,206763.25,3.48
871765.96,14.68,1.08,206763.51,3.48
871949.68,14.68,1.09,206932.43,3.48
871813.72,14.68,1.09,206912.82,3.48
872082.54,14.69,1.09,207162.25,3.49
871737.76,14.68,1.09,206889.52,3.49
871800.52,14.69,1.09,206502.8,3.48
871589.92,14.69,1.09,206141.39,3.47
871641.61,14.69,1.09,206264.5,3.48
871641.61,14.69,1.09,205922.17,3.47
871505.65,14.69,1.09,205880.75,3.47
871369.69,14.69,1.09,205856.65,3.47
871638.52,14.7,1.1,206104.1,3.47
871293.73,14.69,1.09,205831.37,3.47
871293.73,14.69,1.09,205834.65,3.47
871136.08,14.69,1.09,205702.83,3.47
871000.12,14.69,1.09,205703.09,3.47
871059.86,14.69,1.09,211339.44,3.56
870923.9,14.69,1.09,211236.27,3.56
870787.94,14.69,1.09,211216.66,3.56
870498.27,14.69,1.09,210974.57,3.56
870362.31,14.69,1.09,210891.28,3.56
870226.35,14.69,1.09,210871.66,3.56
870278.04,14.69,1.09,210950.19,3.56
870142.08,14.69,1.09,210950.45,3.56
870410.9,14.7,1.1,211180.01,3.57
870462.6,14.7,1.1,211303.11,3.57
870117.81,14.69,1.1,211030.38,3.56
869981.85,14.69,1.1,210966.19,3.56
869824.2,14.69,1.1,210834.37,3.56
869688.24,14.69,1.1,210814.76,3.56
869552.28,14.69,1.1,210731.47,3.56
869416.32,14.69,1.1,210731.73,3.56
869280.36,14.69,1.1,210628.56,3.56
869170.36,14.69,1.09,210518.56,3.56
869170.36,14.69,1.09,210561.54,3.56
869511.29,14.7,1.1,210302.18,3.56
869311.62,14.7,1.1,210108.4,3.55
871159.43,14.73,1.13,210741.93,3.56
870670.67,14.72,1.12,210253.16,3.55
870906.43,14.73,1.13,210230.27,3.55
871182.9,14.73,1.14,210934.92,3.57
871046.94,14.73,1.14,210935.19,3.57
870910.98,14.73,1.14,210832.02,3.57
870962.67,14.74,1.14,210955.12,3.57
871014.36,14.74,1.14,211052.75,3.57
871198.07,14.74,1.15,211137.38,3.57
871062.11,14.74,1.15,211263.62,3.58
870772.44,14.74,1.14,211021.53,3.57
870556.63,14.74,1.14,210835.64,3.57
870820.31,14.74,1.14,217347.19,3.68
870487.89,14.74,1.14,217009.7,3.67
870487.89,14.74,1.14,217012.97,3.67
870298.22,14.73,1.14,216829.19,3.67
870742.78,14.74,1.15,216528.91,3.67
870556.03,14.74,1.15,216471.32,3.67
875333.16,14.82,1.23,217285.97,3.68
875384.85,14.82,1.23,217409.07,3.68
875436.54,14.83,1.23,217506.7,3.68
875436.54,14.83,1.23,217503.23,3.68
875300.58,14.83,1.23,217401.96,3.68
875569.41,14.83,1.24,217808.24,3.69
875224.62,14.83,1.23,217460.32,3.68
875088.66,14.83,1.23,217357.41,3.68
875357.49,14.83,1.24,217764.41,3.69
875417.23,14.84,1.24,223752.25,3.79
875468.92,14.84,1.24,223875.35,3.79
878602.18,14.89,1.3,224626.63,3.81
878466.22,14.89,1.3,224562.44,3.81
878649.93,14.9,1.3,224647.07,3.81
878701.62,14.9,1.3,224879.32,3.81
878356.84,14.9,1.3,224532.32,3.81
878408.53,14.9,1.3,224655.42,3.81
878677.35,14.9,1.31,224881.42,3.81
878541.39,14.9,1.31,224881.68,3.82
878405.43,14.9,1.31,224778.51,3.81
878457.13,14.91,1.31,224901.61,3.82
878321.17,14.91,1.31,224859.67,3.82
878185.21,14.91,1.31,224859.94,3.82
878049.25,14.91,1.31,224756.77,3.82
878321.28,14.91,1.32,224739.21,3.82
878321.28,14.91,1.32,224742.48,3.82
878185.32,14.91,1.32,225065.15,3.82
877840.54,14.91,1.31,224855.02,3.82
877550.86,14.91,1.31,224648.29,3.82
877414.9,14.91,1.31,224614.12,3.82
877278.94,14.91,1.31,224545.38,3.82
877569.4,14.91,1.32,224235.55,3.81
877569.4,14.91,1.32,224278.53,3.81
877237.67,14.91,1.31,223951.35,3.81
877101.71,14.91,1.31,223951.61,3.81
876965.76,14.91,1.31,223848.44,3.81
880844.73,14.97,1.38,225504.08,3.83
880708.77,14.98,1.38,225504.35,3.83
880768.51,14.98,1.38,231445.73,3.94
880328.62,14.97,1.37,231005.84,3.93
880564.39,14.98,1.38,231270.7,3.93
880616.08,14.98,1.38,231388.99,3.94
880667.77,14.98,1.39,231484.95,3.94
880531.81,14.98,1.39,231465.34,3.94
880254.58,14.98,1.38,231203.74,3.93
880118.62,14.98,1.38,231120.45,3.93
