ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_ratio,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_q124,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_ratio
1584167.43,26.38,0.86,225350.83,3.75
1584007.51,26.38,0.86,225228.21,3.75
1584277.1,26.38,0.87,231649.67,3.86
1584011.12,26.38,0.87,231642.84,3.86
1583804.93,26.39,0.87,231640.67,3.86
1583605.72,26.38,0.87,231392.87,3.85
1583193.32,26.38,0.87,231316.63,3.86
1588688.48,26.48,0.96,232812.56,3.88
1588670.32,26.48,0.96,232908.95,3.88
1588702.34,26.48,0.96,232922.46,3.88
1587877.55,26.47,0.95,232097.89,3.87
1587143.79,26.46,0.94,231353.36,3.86
1587125.63,26.47,0.95,231503.77,3.86
1586859.65,26.47,0.95,231427.75,3.86
1586653.45,26.47,0.95,231353.69,3.86
1586447.25,26.47,0.95,231282.61,3.86
1586377.72,26.47,0.95,230844.22,3.85
1586090.76,26.47,0.95,230572.1,3.85
1585930.85,26.47,0.95,230449.48,3.85
1585724.65,26.47,0.95,230444.32,3.85
1585518.45,26.47,0.95,230373.68,3.85
1585520.14,26.47,0.95,230376.62,3.85
1585313.95,26.47,0.95,230371.02,3.85
1585432.49,26.48,0.95,230359.56,3.85
1585432.49,26.48,0.95,230328.79,3.85
1585826.42,26.49,0.96,230400.78,3.85
1585371.93,26.49,0.96,230467.43,3.85
1585184.97,26.49,0.96,230299.08,3.85
1584811.25,26.48,0.96,230059.4,3.84
1584605.05,26.48,0.96,230006.45,3.84
1584586.89,26.49,0.96,230366.14,3.85
1584380.7,26.49,0.96,230342.85,3.85
1584174.5,26.49,0.96,230271.85,3.85
1583968.3,26.49,0.96,230266.62,3.85
1583898.77,26.49,0.96,229828.23,3.84
1583898.77,26.49,0.96,229827.13,3.84
1583738.85,26.49,0.96,229704.51,3.84
1583911.26,26.5,0.97,229635.57,3.84
1583616.52,26.49,0.97,229423.62,3.84
1583410.32,26.5,0.97,229370.67,3.84
1585099.15,26.52,0.99,236537.59,3.96
1585115.68,26.52,0.99,236531.85,3.96
1585343.2,26.53,1.0,237322.93,3.97
1585325.04,26.53,1.0,237419.32,3.97
1585325.04,26.53,1.0,237392.68,3.97
1585118.84,26.53,1.0,237369.39,3.97
1584921.89,26.53,1.0,237187.27,3.97
1584715.69,26.53,1.0,237185.1,3.97
1584509.5,26.53,1.0,237111.03,3.97
