ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
250,632,522970,6212,522970
251,634,523970,6212,523970
251,634,523970,6212,523970
252,636,524620,6212,524620
252,636,525620,6212,525620
252,636,526430,6212,526430
252,636,526430,6212,526430
253,638,527240,6212,527240
254,640,528240,6212,528240
255,648,529240,6212,529240
255,648,529710,6212,529710
255,648,529710,6212,529710
255,648,529710,6212,529710
255,648,530710,6212,530710
255,648,531710,6212,531710
255,648,532710,6212,532710
255,648,533710,6212,533710
256,656,534710,6212,534710
256,656,535030,6212,535030
257,658,536030,6212,536030
257,658,537030,6212,537030
257,658,537030,6212,537030
257,658,537030,6212,537030
258,660,538030,6212,538030
258,660,539030,6212,539030
258,660,539500,6212,539500
258,660,540500,6212,540500
258,660,540500,6212,540500
259,662,541150,6212,541150
259,662,542150,6212,542150
259,662,542620,6212,542620
259,662,542620,6212,542620
259,662,542730,6212,542730
259,662,543200,6212,543200
259,662,544200,6212,544200
259,662,544200,6212,544200
259,662,545200,6212,545200
259,662,546200,6212,546200
259,662,547200,6212,547200
259,662,548200,6212,548200
259,662,549200,6212,549200
259,662,550200,6212,550200
259,662,551200,6212,551200
260,664,551430,6212,551430
260,664,552430,6212,552430
261,666,553430,6212,553430
261,666,554240,6212,554240
261,666,555240,6212,555240
