ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_540b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_540b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_540b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_540b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_540b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
393,1058,907120,6212,907120
393,1058,907590,6212,907590
394,1060,908590,6212,908590
394,1060,908590,6212,908590
394,1060,908590,6212,908590
394,1060,908590,6212,908590
394,1060,909590,6212,909590
395,1062,910060,6212,910060
395,1062,911060,6212,911060
395,1062,911530,6212,911530
396,1064,912000,6212,912000
396,1064,913000,6212,913000
397,1066,914000,6212,914000
397,1066,915000,6212,915000
398,1068,916000,6212,916000
398,1068,917000,6212,917000
399,1070,918000,6212,918000
399,1070,918000,6212,918000
399,1070,919000,6212,919000
400,1072,919590,6212,919590
400,1072,920400,6212,920400
401,1080,928400,6212,928400
402,1082,929400,6212,929400
403,1086,933400,6212,933400
403,1086,933400,6212,933400
403,1086,934050,6212,934050
404,1088,934700,6212,934700
404,1088,935700,6212,935700
405,1090,936700,6212,936700
405,1090,937700,6212,937700
406,1098,945700,6212,945700
407,1102,949700,6212,949700
407,1102,949920,6212,949920
407,1102,950140,6212,950140
408,1104,951140,6212,951140
