ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0fad-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0fad-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0fad-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0fad-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0fad-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
308,708,549940,6212,549940
308,708,550940,6212,550940
309,710,551750,6212,551750
309,710,552750,6212,552750
310,712,553750,6212,553750
310,712,554070,6212,554070
310,712,554070,6212,554070
310,712,554070,6212,554070
310,712,554070,6212,554070
310,712,554070,6212,554070
310,712,554390,6212,554390
311,720,554390,6212,554390
311,720,555390,6212,555390
312,722,556390,6212,556390
312,722,556390,6212,556390
312,722,556860,6212,556860
312,722,557180,6212,557180
312,722,557180,6212,557180
312,722,558180,6212,558180
312,722,558180,6212,558180
313,724,558650,6212,558650
313,724,558650,6212,558650
313,724,558650,6212,558650
313,724,558650,6212,558650
314,726,559650,6212,559650
314,726,559650,6212,559650
314,726,560240,6212,560240
315,728,561050,6212,561050
316,736,561050,6212,561050
316,736,562050,6212,562050
316,736,562520,6212,562520
316,736,562520,6212,562520
317,738,563520,6212,563520
318,740,564520,6212,564520
318,740,565520,6212,565520
319,742,566330,6212,566330
319,742,567140,6212,567140
320,744,567950,6212,567950
320,744,568950,6212,568950
320,744,568950,6212,568950
320,744,569760,6212,569760
320,744,570220,6212,570220
320,744,570440,6212,570440
321,746,571440,6212,571440
321,746,572440,6212,572440
322,748,572760,6212,572760
323,750,573760,6212,573760
323,750,574220,6212,574220
324,752,574870,6212,574870
324,752,575870,6212,575870
324,752,575870,6212,575870
325,754,576870,6212,576870
325,754,577330,6212,577330
326,756,577800,6212,577800
326,756,578800,6212,578800
326,756,578800,6212,578800
327,758,579800,6212,579800
327,758,580800,6212,580800
327,758,581450,6212,581450
328,760,582450,6212,582450
328,760,583450,6212,583450
329,762,584450,6212,584450
329,762,584920,6212,584920
329,762,585920,6212,585920
330,764,586920,6212,586920
331,766,587390,6212,587390
331,766,588390,6212,588390
332,774,588390,6212,588390
332,774,589200,6212,589200
333,776,590200,6212,590200
333,776,591200,6212,591200
334,778,592010,6212,592010
334,778,592010,6212,592010
335,780,593010,6212,593010
335,780,593480,6212,593480
335,780,593940,6212,593940
335,780,594940,6212,594940
335,780,595410,6212,595410
336,782,595880,6212,595880
337,784,596880,6212,596880
337,784,596880,6212,596880
338,786,597350,6212,597350
338,786,598350,6212,598350
338,786,598350,6212,598350
339,788,599350,6212,599350
339,788,600160,6212,600160
339,788,600320,6212,600320
339,788,601320,6212,601320
339,788,602130,6212,602130
340,790,603130,6212,603130
340,790,603130,6212,603130
340,790,604130,6212,604130
341,792,605130,6212,605130
341,792,606130,6212,606130
342,794,607130,6212,607130
342,794,607130,6212,607130
342,794,607130,6212,607130
342,794,608130,6212,608130
342,794,608600,6212,608600
343,796,609600,6212,609600
344,798,610600,6212,610600
345,800,611410,6212,611410
345,800,612410,6212,612410
345,800,612410,6212,612410
