ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_53d2-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_53d2-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_53d2-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_53d2-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_53d2-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
214,476,237250,6212,237250
214,476,238060,6212,238060
214,476,238380,6212,238380
214,476,239190,6212,239190
214,476,239660,6212,239660
214,476,240130,6212,240130
215,480,240600,6212,240600
215,480,241250,6212,241250
216,482,242060,6212,242060
216,482,242870,6212,242870
216,482,243190,6212,243190
217,484,243510,6212,243510
217,484,243830,6212,243830
217,484,244060,6212,244060
217,484,244060,6212,244060
217,484,244870,6212,244870
217,484,245190,6212,245190
218,486,245780,6212,245780
218,486,246250,6212,246250
218,486,246470,6212,246470
218,486,247280,6212,247280
218,486,247280,6212,247280
219,490,247750,6212,247750
219,490,248220,6212,248220
219,490,248590,6212,248590
219,490,248590,6212,248590
220,492,249400,6212,249400
220,492,249400,6212,249400
220,492,249870,6212,249870
220,492,250680,6212,250680
220,492,251150,6212,251150
220,492,251370,6212,251370
220,492,252180,6212,252180
221,494,252650,6212,252650
221,494,253460,6212,253460
221,494,253460,6212,253460
221,494,253460,6212,253460
222,496,254270,6212,254270
222,496,255080,6212,255080
222,496,255550,6212,255550
223,498,256360,6212,256360
223,498,256680,6212,256680
223,498,257330,6212,257330
224,500,258140,6212,258140
224,500,258950,6212,258950
224,500,259180,6212,259180
225,502,259550,6212,259550
225,502,259550,6212,259550
225,502,259870,6212,259870
225,502,260520,6212,260520
225,502,260990,6212,260990
226,506,261460,6212,261460
227,508,262270,6212,262270
227,508,262740,6212,262740
227,508,263200,6212,263200
227,508,264010,6212,264010
227,508,264330,6212,264330
227,508,264790,6212,264790
227,508,265250,6212,265250
227,508,265710,6212,265710
227,508,266360,6212,266360
227,508,266590,6212,266590
228,510,267400,6212,267400
228,510,267400,6212,267400
229,514,267630,6212,267630
229,514,268100,6212,268100
229,514,268570,6212,268570
230,516,269380,6212,269380
230,516,269970,6212,269970
230,516,269970,6212,269970
230,516,270340,6212,270340
231,518,271150,6212,271150
231,518,271960,6212,271960
232,520,272770,6212,272770
232,520,273580,6212,273580
233,522,274390,6212,274390
233,522,275200,6212,275200
233,522,275430,6212,275430
233,522,275900,6212,275900
233,522,276130,6212,276130
233,522,276450,6212,276450
233,522,276770,6212,276770
233,522,277090,6212,277090
233,522,277090,6212,277090
233,522,277740,6212,277740
233,522,277740,6212,277740
233,522,277740,6212,277740
233,522,278010,6212,278010
234,524,278820,6212,278820
234,524,279290,6212,279290
234,524,279290,6212,279290
235,528,279520,6212,279520
235,528,280330,6212,280330
236,530,281140,6212,281140
236,530,281950,6212,281950
237,532,282760,6212,282760
237,532,283080,6212,283080
237,532,283540,6212,283540
237,532,283540,6212,283540
237,532,283700,6212,283700
237,532,283860,6212,283860
237,532,284180,6212,284180
237,532,284650,6212,284650
237,532,285460,6212,285460
237,532,285930,6212,285930
237,532,286150,6212,286150
237,532,286960,6212,286960
237,532,287280,6212,287280
238,534,288090,6212,288090
