ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0ac0-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0ac0-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0ac0-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_q124,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0ac0-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0ac0-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_ratio
884129.95,15.0,1.4,178404.11,3.03
884026.42,15.0,1.4,178443.34,3.03
884330.59,15.01,1.41,178442.97,3.03
884383.29,15.01,1.41,178443.03,3.03
884436.0,15.01,1.41,178443.09,3.03
884626.45,15.02,1.42,178442.78,3.03
884490.47,15.02,1.42,178442.78,3.03
884944.04,15.02,1.43,179058.48,3.04
884808.06,15.02,1.43,178979.17,3.04
884672.08,15.03,1.43,178979.17,3.04
884536.11,15.03,1.43,178979.33,3.04
884400.13,15.03,1.43,178979.33,3.04
884696.15,15.03,1.43,178979.02,3.04
884992.17,15.04,1.44,178978.71,3.04
884856.19,15.04,1.44,178891.37,3.04
884720.22,15.04,1.44,178891.37,3.04
884616.69,15.04,1.44,178985.3,3.04
884480.71,15.04,1.44,178905.99,3.04
884865.37,15.05,1.45,178920.43,3.04
884729.4,15.05,1.45,178920.43,3.04
884782.1,15.05,1.45,178920.42,3.04
884834.8,15.05,1.46,178919.95,3.04
884698.82,15.05,1.46,178919.95,3.04
884562.84,15.05,1.46,178919.64,3.04
884426.87,15.05,1.46,178925.87,3.05
884479.57,15.06,1.46,178392.69,3.04
884532.27,15.06,1.46,178503.77,3.04
884396.29,15.06,1.46,178503.77,3.04
884692.31,15.07,1.47,178503.46,3.04
884556.34,15.07,1.47,178503.15,3.04
884556.34,15.07,1.47,178423.84,3.04
884556.34,15.07,1.47,178423.84,3.04
884420.36,15.07,1.47,178423.53,3.04
884420.36,15.07,1.47,178518.96,3.04
884758.5,15.08,1.48,178326.72,3.04
884758.5,15.08,1.48,178331.95,3.04
884811.2,15.08,1.48,178331.95,3.04
884675.22,15.08,1.48,178319.9,3.04
885128.79,15.09,1.49,178661.11,3.05
884992.82,15.09,1.49,178581.8,3.04
884945.59,15.09,1.49,178446.25,3.04
884998.3,15.09,1.49,178446.31,3.04
884998.3,15.09,1.49,178451.54,3.04
884894.77,15.09,1.49,178468.25,3.04
