ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0ac0-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_nodes,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0ac0-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0ac0-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0ac0-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-total_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0ac0-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-arrived_gpu_milli
563,2941,553430,6212,553430
563,2941,554240,6212,554240
564,2943,555240,6212,555240
565,2945,556240,6212,556240
565,2945,556700,6212,556700
565,2945,557700,6212,557700
565,2945,558160,6212,558160
565,2945,559160,6212,559160
566,2947,559970,6212,559970
566,2947,559970,6212,559970
567,2955,560970,6212,560970
568,2957,561970,6212,561970
569,2959,562970,6212,562970
570,2963,563780,6212,563780
570,2963,564370,6212,564370
571,2971,564840,6212,564840
571,2971,565840,6212,565840
572,2979,569840,6212,569840
573,2987,569840,6212,569840
574,2989,570310,6212,570310
574,2989,570310,6212,570310
575,2991,570630,6212,570630
575,2991,571440,6212,571440
576,2993,572440,6212,572440
577,2995,573440,6212,573440
578,2997,573440,6212,573440
579,2999,574440,6212,574440
580,3007,574670,6212,574670
580,3007,575670,6212,575670
580,3007,576670,6212,576670
581,3015,577670,6212,577670
581,3015,577670,6212,577670
582,3017,578670,6212,578670
583,3019,579140,6212,579140
584,3023,579790,6212,579790
585,3025,580790,6212,580790
586,3027,581790,6212,581790
586,3027,581790,6212,581790
586,3027,582790,6212,582790
587,3035,583260,6212,583260
588,3039,583580,6212,583580
589,3047,584390,6212,584390
589,3047,585200,6212,585200
590,3049,585670,6212,585670
591,3051,586670,6212,586670
591,3051,586670,6212,586670
592,3059,587670,6212,587670
593,3067,588670,6212,588670
593,3067,589670,6212,589670
593,3067,590670,6212,590670
594,3069,590890,6212,590890
594,3069,591890,6212,591890
595,3077,592890,6212,592890
595,3077,593890,6212,593890
596,3085,594700,6212,594700
596,3085,594700,6212,594700
596,3085,595160,6212,595160
596,3085,595380,6212,595380
596,3085,596380,6212,596380
596,3085,597380,6212,597380
596,3085,597850,6212,597850
597,3093,598850,6212,598850
597,3093,599850,6212,599850
598,3101,600850,6212,600850
599,3109,608850,6212,608850
599,3109,609170,6212,609170
599,3109,609720,6212,609720
600,3117,610720,6212,610720
601,3125,610720,6212,610720
602,3133,611720,6212,611720
603,3141,612530,6212,612530
603,3141,613000,6212,613000
604,3149,613810,6212,613810
604,3149,614810,6212,614810
605,3157,615030,6212,615030
606,3165,616030,6212,616030
606,3165,616500,6212,616500
607,3167,617310,6212,617310
608,3169,618310,6212,618310
608,3169,619120,6212,619120
609,3171,619440,6212,619440
609,3171,619440,6212,619440
610,3173,620250,6212,620250
611,3181,621060,6212,621060
611,3181,621060,6212,621060
612,3183,621060,6212,621060
612,3183,621870,6212,621870
612,3183,622870,6212,622870
613,3191,623680,6212,623680
614,3193,624000,6212,624000
615,3201,624810,6212,624810
615,3201,625810,6212,625810
615,3201,626620,6212,626620
616,3209,627620,6212,627620
616,3209,628620,6212,628620
617,3211,628940,6212,628940
617,3211,629940,6212,629940
617,3211,630400,6212,630400
618,3219,631400,6212,631400
619,3227,632210,6212,632210
620,3235,633210,6212,633210
621,3237,634210,6212,634210
621,3237,635210,6212,635210
621,3237,635210,6212,635210
622,3239,636020,6212,636020
