ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
818921.11,13.99,0.65,301717.58,5.15
819206.47,14.0,0.65,302073.41,5.16
819058.0,14.0,0.65,302010.97,5.16
818909.52,13.99,0.65,301824.82,5.16
818761.05,13.99,0.65,301782.16,5.16
818612.58,13.99,0.65,301696.67,5.16
818353.85,13.99,0.65,303218.66,5.18
818205.38,13.99,0.65,303106.8,5.18
818235.0,13.99,0.65,302437.75,5.17
818157.31,13.99,0.65,301625.04,5.16
818008.84,13.99,0.65,301608.76,5.16
818065.12,14.0,0.65,302495.8,5.18
818311.71,14.0,0.66,302612.16,5.18
818628.91,14.01,0.66,302855.86,5.18
818541.6,14.01,0.66,302000.95,5.17
818541.6,14.01,0.66,302000.95,5.17
818401.85,14.01,0.66,301342.6,5.16
818501.66,14.01,0.67,301618.56,5.16
818787.02,14.02,0.67,301705.85,5.17
818835.97,14.02,0.68,301270.17,5.16
818835.97,14.02,0.68,301270.17,5.16
818587.08,14.02,0.67,300934.81,5.15
818438.61,14.02,0.67,301152.69,5.16
818290.13,14.02,0.67,301040.83,5.16
818141.66,14.02,0.67,301024.54,5.16
818141.66,14.02,0.67,301024.54,5.16
817993.19,14.02,0.67,300911.43,5.16
817619.36,14.01,0.67,300538.12,5.15
817524.72,14.01,0.67,299463.22,5.13
817581.0,14.02,0.67,300260.84,5.15
817581.0,14.02,0.67,300260.84,5.15
817428.27,14.02,0.67,299944.09,5.14
817468.51,14.02,0.68,300114.21,5.15
817468.51,14.02,0.68,300114.21,5.15
817320.04,14.02,0.67,300001.1,5.15
817171.56,14.02,0.67,299986.06,5.15
817023.09,14.02,0.67,299959.52,5.15
816874.62,14.02,0.67,299857.91,5.15
817159.98,14.02,0.68,299945.2,5.15
817011.51,14.02,0.68,300092.88,5.15
816637.68,14.02,0.68,299789.77,5.15
816489.21,14.02,0.68,299793.82,5.15
816489.21,14.02,0.68,299793.82,5.15
816169.21,14.01,0.67,299473.82,5.14
816020.74,14.01,0.67,299341.62,5.14
815872.27,14.01,0.67,299315.09,5.14
815723.8,14.01,0.67,299213.47,5.14
815584.04,14.01,0.67,298496.71,5.13
815522.56,14.01,0.67,298441.14,5.13
815807.92,14.02,0.68,298528.43,5.13
815659.45,14.02,0.68,298746.31,5.14
815285.62,14.01,0.67,298372.99,5.13
815137.14,14.01,0.67,298296.29,5.13
814988.67,14.01,0.67,298238.24,5.13
814840.2,14.01,0.67,298125.31,5.13
814691.73,14.01,0.67,298110.09,5.13
814543.26,14.01,0.67,297990.55,5.13
814828.62,14.02,0.68,298409.86,5.13
814464.79,14.01,0.67,298045.33,5.13
814316.32,14.01,0.67,297932.22,5.13
814167.85,14.01,0.67,297917.18,5.13
814028.09,14.01,0.67,297200.42,5.12
813777.9,14.01,0.67,296956.15,5.11
814063.27,14.02,0.68,297028.3,5.12
814063.27,14.02,0.68,297028.3,5.12
813914.79,14.02,0.68,297261.31,5.12
813766.32,14.02,0.68,297148.2,5.12
813766.32,14.02,0.68,297148.2,5.12
813815.27,14.02,0.68,296712.53,5.11
813666.8,14.02,0.68,296697.5,5.11
813605.32,14.02,0.68,296540.65,5.11
813654.27,14.02,0.68,296104.98,5.1
813505.8,14.02,0.68,295991.87,5.1
813256.9,14.02,0.68,295656.51,5.1
