ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2c5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2c5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2c5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2c5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2c5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_ratio
1171439.94,19.61,0.97,231675.33,3.88
1171272.9,19.61,0.97,231615.21,3.88
1171073.73,19.6,0.97,231288.93,3.87
1170906.7,19.6,0.97,231279.99,3.87
1170739.67,19.6,0.97,231207.31,3.87
1170547.08,19.6,0.97,231422.86,3.88
1170613.04,19.61,0.97,230522.71,3.86
1170391.77,19.6,0.97,230426.65,3.86
1170653.76,19.61,0.98,230728.2,3.86
1172951.03,19.65,1.02,235388.79,3.94
1172967.56,19.65,1.02,235381.95,3.94
1173124.41,19.66,1.02,235419.56,3.94
1173145.34,19.66,1.03,235723.99,3.95
1171637.66,19.66,1.03,235662.84,3.95
1171470.63,19.66,1.03,235585.7,3.95
1171303.6,19.66,1.03,235581.22,3.95
1171136.57,19.66,1.03,235504.07,3.95
1171727.96,19.67,1.04,235606.0,3.96
1171560.93,19.67,1.04,235601.52,3.96
1171191.91,19.67,1.03,235362.42,3.95
1171058.69,19.67,1.04,234493.87,3.94
1170891.66,19.67,1.04,234484.92,3.94
1170724.63,19.67,1.04,234412.24,3.94
1170557.6,19.67,1.04,234403.3,3.94
1170390.57,19.67,1.04,234330.62,3.94
1170186.43,19.67,1.03,234206.28,3.94
1170019.4,19.67,1.03,234129.14,3.94
1169852.37,19.67,1.03,234124.66,3.94
1169334.21,19.67,1.03,233627.7,3.93
1169355.14,19.67,1.03,233550.99,3.93
1169617.13,19.67,1.04,234149.17,3.94
1169450.1,19.67,1.04,234071.68,3.94
1169280.1,19.68,1.04,234077.01,3.94
1169113.06,19.68,1.04,234072.88,3.94
1169926.15,19.69,1.05,234509.94,3.95
1169942.67,19.69,1.05,234497.02,3.95
1170189.69,19.7,1.06,234421.38,3.95
1169820.66,19.69,1.05,234030.72,3.94
1169977.52,19.7,1.06,234773.0,3.95
1169977.52,19.7,1.06,236345.15,3.98
1170222.65,19.71,1.07,236153.35,3.98
1170055.61,19.71,1.07,236151.34,3.98
1170076.55,19.71,1.07,236248.67,3.98
1170338.53,19.72,1.08,236550.21,3.98
1170171.5,19.72,1.08,236470.6,3.98
1169459.61,19.71,1.07,235727.37,3.97
1169292.58,19.71,1.07,235725.36,3.97
1169297.77,19.71,1.07,235286.22,3.97
1169130.73,19.71,1.07,235206.6,3.97
1167542.51,19.71,1.07,235150.78,3.97
1167446.49,19.71,1.07,235021.75,3.97
1167279.46,19.71,1.07,235012.8,3.97
1167650.17,19.72,1.08,234601.85,3.96
1167483.14,19.72,1.08,234529.17,3.96
1167316.11,19.72,1.08,234527.16,3.96
1166947.09,19.72,1.08,234288.06,3.96
1166780.06,19.72,1.08,234208.44,3.96
1166544.76,19.72,1.07,234299.98,3.96
1166701.61,19.72,1.08,234337.59,3.96
1166534.58,19.72,1.08,234335.59,3.96
1166367.55,19.72,1.08,234255.97,3.96
1166200.52,19.72,1.08,234178.82,3.96
1166033.48,19.72,1.08,234174.34,3.96
1165866.45,19.72,1.08,234097.2,3.96
1165699.42,19.72,1.08,234092.72,3.96
1165258.99,19.72,1.08,233695.53,3.95
1165091.96,19.72,1.08,233686.58,3.96
1165353.95,19.73,1.08,234154.62,3.96
1165186.91,19.73,1.08,234081.94,3.96
1165186.91,19.73,1.08,233495.41,3.95
1165019.88,19.73,1.08,233486.47,3.95
1165331.75,19.73,1.09,233318.14,3.95
1165164.71,19.73,1.09,233245.46,3.95
1164997.68,19.73,1.09,233167.97,3.95
1167910.81,19.78,1.14,239773.38,4.06
1167743.78,19.78,1.14,239769.25,4.06
1167547.12,19.78,1.13,239558.19,4.06
1167387.58,19.78,1.14,239563.61,4.06
1167194.99,19.78,1.14,239526.21,4.06
1167194.99,19.78,1.14,239526.21,4.06
1167194.99,19.78,1.14,239526.21,4.06
1166835.96,19.78,1.13,239320.92,4.06
1166643.37,19.78,1.13,239376.47,4.06
1166664.31,19.78,1.13,239473.79,4.06
1166664.31,19.78,1.13,239473.79,4.06
1167069.11,19.79,1.14,238735.78,4.05
1166874.95,19.79,1.14,238525.47,4.05
1166682.36,19.79,1.14,238476.99,4.04
1166703.29,19.79,1.14,238620.95,4.05
1166536.26,19.79,1.14,238612.0,4.05
1166806.35,19.8,1.15,238602.69,4.05
1166827.28,19.8,1.15,239017.55,4.06
1166832.46,19.8,1.16,238578.4,4.05
1166900.52,19.81,1.16,238622.52,4.05
1166733.48,19.81,1.16,238549.84,4.05
1166529.35,19.81,1.16,238245.75,4.04
1166362.32,19.81,1.16,238168.31,4.04
1166192.32,19.81,1.16,237960.18,4.04
1166025.28,19.81,1.16,237955.99,4.04
1165858.25,19.81,1.16,237934.49,4.04
1165491.13,19.8,1.15,237698.37,4.04
1166100.5,19.81,1.16,237877.75,4.04
1165933.47,19.82,1.16,237817.63,4.04
1166506.72,19.83,1.18,238171.53,4.05
1166314.13,19.83,1.18,238151.48,4.05
1166121.54,19.83,1.18,238223.66,4.05
1165837.23,19.82,1.17,238023.33,4.05
1165683.62,19.83,1.18,238228.31,4.05
1165290.92,19.82,1.17,237785.1,4.04
1165311.85,19.82,1.17,237882.43,4.05
1165845.09,19.84,1.19,237947.4,4.05
1165613.52,19.84,1.19,237654.06,4.04
1165446.49,19.84,1.19,237652.05,4.05
1165467.42,19.84,1.19,237796.01,4.05
1165488.35,19.84,1.19,237893.33,4.05
1165321.32,19.84,1.19,237813.71,4.05
1165583.31,19.85,1.2,238115.26,4.06
1165088.28,19.84,1.19,237788.69,4.05
1165088.28,19.84,1.19,237765.94,4.05
1165088.28,19.84,1.19,237765.94,4.05
1164386.97,19.84,1.18,236994.28,4.04
1164420.02,19.84,1.18,236998.25,4.04
1164252.98,19.84,1.18,236989.3,4.04
1164252.98,19.84,1.18,239845.06,4.09
1164273.92,19.84,1.19,239942.38,4.09
1164106.88,19.84,1.19,239869.7,4.09
1163967.45,19.84,1.19,239855.9,4.09
1163800.41,19.84,1.19,239778.41,4.09
1163821.35,19.84,1.19,239922.37,4.09
1163842.28,19.85,1.19,240019.69,4.09
1170221.0,19.95,1.3,245126.89,4.18
1170053.97,19.96,1.3,245122.76,4.18
1169740.54,19.95,1.3,244821.55,4.18
1169573.51,19.95,1.3,244744.41,4.18
1169406.48,19.95,1.3,244739.93,4.18
1169406.48,19.95,1.3,244706.34,4.18
1169087.76,19.95,1.29,244387.61,4.17
1168920.73,19.95,1.29,244378.67,4.17
1168753.69,19.95,1.29,244305.99,4.17
1168753.69,19.95,1.29,244341.65,4.17
1168586.66,19.95,1.29,244332.7,4.17
1168419.63,19.95,1.29,244260.02,4.17
1168440.56,19.95,1.3,244403.98,4.17
1168273.53,19.95,1.3,244326.54,4.17
1168273.53,19.95,1.3,244324.42,4.17
1168106.5,19.95,1.3,244320.23,4.17
1167939.46,19.96,1.3,244318.23,4.17
1167772.43,19.96,1.3,244238.61,4.17
1168532.12,19.97,1.31,244560.41,4.18
1168365.08,19.97,1.31,244483.26,4.18
1168198.05,19.97,1.31,244478.78,4.18
1167691.6,19.97,1.31,243941.96,4.17
1167712.54,19.97,1.31,244039.28,4.17
1167545.5,19.97,1.31,243962.13,4.17
