ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0fad-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0fad-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_ratio,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0fad-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_q124,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0fad-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0fad-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_ratio
1256083.67,21.43,0.93,216674.3,3.7
1256318.1,21.44,0.94,216764.9,3.7
1256301.9,21.44,0.94,217066.25,3.7
1256425.14,21.45,0.95,217133.75,3.71
1256425.14,21.45,0.95,217133.75,3.71
1256220.16,21.45,0.95,217076.35,3.71
1256203.96,21.45,0.95,217347.15,3.71
1256203.96,21.45,0.95,217347.15,3.71
1255998.99,21.45,0.95,217347.15,3.71
1255994.46,21.45,0.95,216863.56,3.7
1258255.14,21.49,0.99,219985.99,3.76
1258050.16,21.49,0.99,220001.28,3.76
1257845.19,21.49,0.99,219928.59,3.76
1257465.78,21.49,0.99,219717.74,3.75
1263825.98,21.59,1.1,226040.23,3.86
1263621.0,21.59,1.1,226055.51,3.86
1263416.03,21.59,1.1,225982.83,3.86
1263416.03,21.59,1.1,225982.83,3.86
1263211.05,21.59,1.1,225984.41,3.86
1263006.08,21.59,1.1,225925.43,3.86
1263006.08,21.59,1.1,225931.12,3.86
1263239.95,21.6,1.1,226102.46,3.87
1263034.98,21.6,1.1,226117.75,3.87
1262745.4,21.6,1.1,225815.12,3.86
1262729.2,21.6,1.1,225909.36,3.86
1262713.01,21.6,1.1,226057.39,3.87
1263324.97,21.61,1.12,226184.83,3.87
1263119.99,21.61,1.12,226112.14,3.87
1263077.38,21.62,1.12,226012.46,3.87
1262918.6,21.61,1.12,225862.59,3.87
1263153.03,21.62,1.12,225953.18,3.87
1262783.62,21.61,1.12,225964.94,3.87
1262578.65,21.61,1.12,225980.23,3.87
1262562.45,21.62,1.12,226058.56,3.87
1262546.25,21.62,1.12,226152.8,3.87
1262760.85,21.63,1.13,226594.03,3.88
1262884.09,21.63,1.13,226661.52,3.88
1262867.89,21.63,1.14,226932.32,3.89
1262662.91,21.63,1.14,226859.64,3.89
1262662.91,21.63,1.14,226867.2,3.89
1262457.94,21.63,1.14,226868.79,3.89
