ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_183a-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_183a-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_183a-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_183a-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_183a-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
308,686,532640,6212,532640
309,688,533640,6212,533640
309,688,534640,6212,534640
310,690,535110,6212,535110
310,690,536110,6212,536110
311,692,536920,6212,536920
311,692,537920,6212,537920
312,694,538920,6212,538920
312,694,538920,6212,538920
312,694,539730,6212,539730
313,696,540730,6212,540730
313,696,541050,6212,541050
313,696,542050,6212,542050
314,698,542860,6212,542860
314,698,543230,6212,543230
314,698,544040,6212,544040
315,700,544850,6212,544850
316,702,546850,6212,546850
316,702,546850,6212,546850
316,702,547850,6212,547850
317,704,548850,6212,548850
317,704,549850,6212,549850
318,706,550660,6212,550660
318,706,551130,6212,551130
318,706,551450,6212,551450
319,708,552260,6212,552260
319,708,552720,6212,552720
319,708,553720,6212,553720
320,710,554190,6212,554190
320,710,554840,6212,554840
320,710,554840,6212,554840
321,712,555650,6212,555650
321,712,556120,6212,556120
321,712,556590,6212,556590
322,714,557590,6212,557590
322,714,558590,6212,558590
322,714,558590,6212,558590
322,714,558590,6212,558590
323,716,559400,6212,559400
323,716,560050,6212,560050
324,718,561050,6212,561050
324,718,562050,6212,562050
325,720,562860,6212,562860
325,720,563330,6212,563330
325,720,564330,6212,564330
326,722,565140,6212,565140
326,722,566140,6212,566140
327,724,567140,6212,567140
327,724,568140,6212,568140
327,724,568460,6212,568460
328,726,569110,6212,569110
328,726,569660,6212,569660
329,728,570250,6212,570250
329,728,571250,6212,571250
330,730,572250,6212,572250
330,730,572250,6212,572250
330,730,572250,6212,572250
330,730,572250,6212,572250
330,730,573250,6212,573250
331,732,573720,6212,573720
331,732,574190,6212,574190
331,732,575190,6212,575190
332,734,575660,6212,575660
332,734,576130,6212,576130
332,734,576940,6212,576940
332,734,576940,6212,576940
333,736,577410,6212,577410
333,736,577520,6212,577520
333,736,578520,6212,578520
334,738,579330,6212,579330
334,738,580330,6212,580330
335,740,581330,6212,581330
335,740,582330,6212,582330
336,742,583330,6212,583330
336,742,584330,6212,584330
336,742,584330,6212,584330
336,742,584330,6212,584330
336,742,584800,6212,584800
337,744,585270,6212,585270
337,744,585920,6212,585920
338,746,586920,6212,586920
338,746,587570,6212,587570
338,746,587570,6212,587570
