ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5c20-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5c20-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_ratio,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5c20-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_q124,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5c20-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5c20-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_ratio
1712031.69,28.93,0.47,194596.74,3.29
1711844.2,28.93,0.47,194552.43,3.29
1711865.85,28.94,0.48,194509.77,3.29
1711557.14,28.94,0.48,194437.64,3.29
1711257.2,28.94,0.48,194837.6,3.29
1710972.11,28.94,0.48,194813.2,3.29
1710677.99,28.94,0.48,194114.64,3.28
1710302.26,28.93,0.48,193899.41,3.28
1710017.18,28.93,0.48,193875.01,3.28
1709723.05,28.93,0.48,193176.45,3.27
1709347.32,28.93,0.48,192961.21,3.27
1709498.52,28.94,0.48,192968.77,3.27
1709174.96,28.94,0.48,192937.84,3.27
1709174.96,28.94,0.48,192937.03,3.27
1708851.39,28.94,0.48,192964.64,3.27
1708851.39,28.94,0.48,192964.64,3.27
1708527.83,28.94,0.48,192943.05,3.27
1708206.59,28.94,0.48,192928.54,3.27
1708206.59,28.94,0.48,192927.73,3.27
1707882.25,28.94,0.48,193088.17,3.27
1707680.07,28.93,0.48,192980.77,3.27
1707411.9,28.93,0.48,192984.08,3.27
1707088.33,28.93,0.48,192880.7,3.27
1707088.33,28.93,0.48,192851.86,3.27
1707088.33,28.93,0.48,193336.32,3.28
1706713.53,28.93,0.48,193495.99,3.28
1706388.42,28.93,0.48,193333.3,3.28
1706282.52,28.93,0.48,192896.91,3.27
1706282.52,28.93,0.48,193014.88,3.27
1705906.8,28.93,0.48,192725.44,3.27
1705690.85,28.93,0.47,192506.87,3.26
1705397.37,28.93,0.47,192225.55,3.26
1705276.89,28.93,0.48,194383.65,3.3
1704978.5,28.93,0.48,194371.78,3.3
1704816.74,28.93,0.48,193722.97,3.29
1704696.26,28.93,0.48,193191.35,3.28
1704575.78,28.93,0.48,192983.99,3.28
1704601.57,28.93,0.48,193236.23,3.28
1704386.08,28.94,0.48,193172.72,3.28
1704180.08,28.93,0.48,192959.98,3.28
1703887.64,28.93,0.48,192939.51,3.28
1703589.25,28.93,0.48,192869.33,3.28
1703372.21,28.93,0.48,192864.03,3.28
1703073.31,28.93,0.48,194784.48,3.31
1702901.54,28.93,0.48,194278.6,3.3
1703040.87,28.94,0.49,194696.24,3.31
1702732.93,28.94,0.49,194670.46,3.31
1702439.32,28.94,0.49,194672.24,3.31
1702115.75,28.94,0.49,194647.72,3.31
1701792.19,28.94,0.49,194643.69,3.31
1701494.92,28.93,0.48,194469.58,3.31
1701171.36,28.93,0.48,194465.46,3.31
1701038.35,28.93,0.49,194484.24,3.31
1700902.25,28.94,0.49,194460.27,3.31
1700578.68,28.94,0.49,194860.6,3.32
1700253.57,28.94,0.49,194771.42,3.31
1700038.08,28.94,0.49,194776.68,3.32
1699917.6,28.94,0.49,194245.05,3.31
1699797.11,28.94,0.49,194037.69,3.3
1699528.94,28.94,0.49,194035.55,3.3
1699149.68,28.94,0.49,193672.61,3.3
1698851.55,28.94,0.49,193646.04,3.3
1698851.55,28.94,0.49,194276.41,3.31
1698851.55,28.94,0.49,194276.41,3.31
1698553.43,28.94,0.49,193917.03,3.3
1698553.43,28.94,0.49,193917.03,3.3
1698336.38,28.94,0.49,193842.97,3.3
1698336.38,28.94,0.49,193842.97,3.3
1698215.9,28.94,0.49,193311.34,3.29
1697907.96,28.94,0.49,193630.13,3.3
1697701.96,28.94,0.49,193432.41,3.3
1697394.02,28.94,0.49,193308.2,3.3
1697273.54,28.94,0.49,193100.84,3.29
1697153.06,28.94,0.49,192569.22,3.28
1697153.06,28.94,0.49,192547.21,3.28
1696937.57,28.94,0.49,192484.14,3.28
1696626.05,28.94,0.49,193069.88,3.29
1696409.01,28.94,0.49,193064.14,3.29
1696193.51,28.94,0.49,193000.88,3.29
1696193.51,28.94,0.49,193024.67,3.29
1695874.7,28.94,0.49,192705.85,3.29
1695579.67,28.94,0.49,192623.8,3.29
1695281.28,28.94,0.49,192553.62,3.29
1695281.28,28.94,0.49,192536.95,3.29
1695064.24,28.94,0.49,192531.41,3.29
1694770.11,28.94,0.49,191832.85,3.28
1694582.62,28.94,0.49,191805.58,3.28
1694282.69,28.94,0.49,191800.28,3.28
1694282.69,28.94,0.49,191772.96,3.28
1693989.08,28.94,0.49,191772.69,3.28
1693720.9,28.94,0.49,191776.53,3.28
1693505.41,28.94,0.49,191713.46,3.28
1693652.09,28.94,0.49,191687.55,3.28
1693328.52,28.94,0.49,191662.46,3.28
1693004.96,28.94,0.49,191687.73,3.28
1692975.88,28.95,0.5,191865.44,3.28
1692840.55,28.95,0.5,191850.03,3.28
1692542.42,28.95,0.5,191926.48,3.28
1692542.42,28.95,0.5,191926.83,3.28
1692542.42,28.95,0.5,191890.18,3.28
1692244.29,28.95,0.5,191849.9,3.28
